# Tileset secondary/lab - 154 metatiles (IDs 512 a 665)
   ID | Behavior                            | Layer
  642 | MB_NORMAL                           | NORMAL
  643 | MB_NON_ANIMATED_DOOR                | COVERED
  644 | MB_NORMAL                           | COVERED
  645 | MB_NON_ANIMATED_DOOR                | COVERED
  646 | MB_NORMAL                           | COVERED
  647 | MB_NORMAL                           | COVERED
  648 | MB_NORMAL                           | COVERED
  649 | MB_NORMAL                           | COVERED
  650 | MB_NORMAL                           | COVERED
  651 | MB_NORMAL                           | COVERED
  652 | MB_NORMAL                           | COVERED
  653 | MB_NORMAL                           | COVERED
  654 | MB_NORMAL                           | COVERED
  655 | MB_NORMAL                           | NORMAL
  656 | MB_NORMAL                           | COVERED
  657 | MB_NORMAL                           | COVERED
  658 | MB_NORMAL                           | NORMAL
  659 | MB_NORMAL                           | NORMAL
  660 | MB_NORMAL                           | NORMAL
  661 | MB_NORMAL                           | NORMAL
  662 | MB_NORMAL                           | NORMAL
  663 | MB_NORMAL                           | NORMAL
  664 | MB_NORMAL                           | COVERED
  665 | MB_NORMAL                           | COVERED
