map,ShoalCave_LowTideEntranceRoom_Layout,width,35,height,35,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
10,0x0612,0x0612,0x0612,0x061B,0x0619,0x0619,0x0619,0x061A,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x0612,0x3201,0x3201,0x3201,0x32A8,0x32A9,0x32AA,0x0618,0x0619,0x0619,0x0619,0x0619,0x0619,0x061C,0x0610,0x0610,0x3211,0x3211,0x0610,0x0610,0x0610
11,0x0612,0x0612,0x0612,0x0612,0x061B,0x0619,0x0619,0x0619,0x061A,0x3211,0x3211,0x3211,0x3211,0x3211,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x32A8,0x32A1,0x32A1,0x32A1,0x329A,0x0610,0x0610,0x0610,0x3211,0x3211,0x0610,0x0610,0x0610
12,0x0612,0x0612,0x0612,0x0612,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x061B,0x3204,0x0619,0x061A,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x32A8,0x32A9,0x32A9,0x32AA,0x0610,0x0610,0x0610,0x3211,0x3211,0x0610,0x0610,0x0610
13,0x0612,0x0612,0x0612,0x0612,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0612,0x3201,0x3201,0x3201,0x3201,0x0608,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0610,0x0610,0x3211,0x3211,0x0610,0x0610,0x0610
14,0x0612,0x0612,0x0612,0x0612,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x060A,0x0612,0x3201,0x3298,0x3299,0x329A,0x0610,0x0620,0x329B,0x329C,0x329C,0x329C,0x329C,0x329C,0x329C,0x329C,0x329C,0x329C,0x329D,0x0610,0x3211,0x3211,0x0610,0x0610,0x0610
15,0x0612,0x0612,0x0612,0x4223,0x4209,0x4209,0x4209,0x4209,0x4209,0x060A,0x0612,0x0612,0x3298,0x32A1,0x32A1,0x32A2,0x0610,0x0610,0x32A0,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A2,0x0610,0x3211,0x3211,0x0610,0x0610,0x0610
16,0x0612,0x0612,0x0612,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x0612,0x0612,0x32A0,0x32A1,0x32A1,0x32A2,0x0610,0x0610,0x32A8,0x32A9,0x32A9,0x32A9,0x32A9,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x0670,0x3223,0x3211,0x3211,0x0610,0x0610,0x0610
17,0x0612,0x0612,0x0612,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x0612,0x0612,0x32A0,0x32A1,0x32A1,0x32A2,0x0610,0x0618,0x3204,0x0619,0x0619,0x0619,0x061C,0x32A0,0x32A1,0x32A1,0x32A1,0x32A2,0x0610,0x3211,0x3211,0x3211,0x0610,0x0610,0x0610
18,0x0612,0x0612,0x0612,0x4211,0x4211,0x4211,0x061B,0x0619,0x4204,0x061A,0x0612,0x0612,0x32A8,0x32A1,0x32A1,0x32A1,0x0668,0x0619,0x3204,0x0619,0x0619,0x061C,0x0610,0x32A0,0x32A1,0x32A1,0x32A1,0x32A2,0x0610,0x0620,0x0609,0x0609,0x0623,0x0610,0x0610
19,0x0612,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x061B,0x0619,0x0619,0x061A,0x0612,0x3201,0x32A8,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32AA,0x3201,0x0610,0x0610,0x32A0,0x32A1,0x32A1,0x32A1,0x32A2,0x0610,0x0610,0x0611,0x0611,0x0611,0x0610,0x0610
20,0x0612,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x0612,0x061B,0x0619,0x0619,0x061A,0x3201,0x3201,0x32A8,0x32A9,0x32A9,0x32A9,0x32AA,0x3201,0x3201,0x0610,0x0610,0x32A0,0x32A1,0x32A1,0x0670,0x0609,0x0623,0x0610,0x0611,0x0611,0x0620,0x0623,0x0610
21,0x0612,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x32A0,0x32A1,0x32A2,0x0610,0x0611,0x0611,0x0610,0x0611,0x0611,0x0610,0x0611,0x0610
22,0x0612,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x0612,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0623,0x0610,0x32A0,0x32A1,0x32A2,0x0610,0x0611,0x0611,0x0610,0x0611,0x0611,0x0610,0x0611,0x0610
23,0x0612,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x3223,0x3209,0x329B,0x329C,0x329C,0x329C,0x329C,0x329C,0x329C,0x329C,0x329C,0x329C,0x329C,0x329C,0x329C,0x329C,0x329E,0x32A1,0x32A2,0x0610,0x0611,0x0620,0x0623,0x0611,0x0611,0x0610,0x0611,0x0610
24,0x0612,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x3211,0x3211,0x32A0,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x0610,0x0611,0x0610,0x0611,0x0620,0x0609,0x0623,0x0611,0x0610
25,0x0612,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x3211,0x3298,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x0610,0x0611,0x0610,0x0611,0x0610,0x0611,0x0611,0x0611,0x0610
26,0x0612,0x0612,0x0612,0x4211,0x4211,0x4211,0x0612,0x3211,0x32A0,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x32A1,0x318E,0x31A6,0x31A6,0x318D,0x32A1,0x32A1,0x32A1,0x32A2,0x0610,0x0611,0x0610,0x0611,0x0610,0x0611,0x0611,0x0611,0x0610
27,0x0612,0x0612,0x0612,0x4211,0x4211,0x4211,0x4223,0x4209,0x4209,0x4209,0x4209,0x4209,0x4209,0x0671,0x32A1,0x32A1,0x32A1,0x318E,0x31A7,0x319E,0x319E,0x31A5,0x318D,0x32A1,0x32A1,0x32A2,0x0610,0x0611,0x0610,0x0611,0x0610,0x0611,0x0611,0x0611,0x0610
28,0x0612,0x0612,0x0612,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x4211,0x0612,0x32A1,0x32A1,0x32A1,0x319F,0x319E,0x319E,0x319E,0x319E,0x319D,0x32A1,0x32A1,0x32A2,0x0610,0x0611,0x0610,0x0611,0x0610,0x0611,0x0611,0x0611,0x0610
29,0x0612,0x0612,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0622,0x0612,0x32A1,0x32A1,0x318E,0x31A7,0x319E,0x319E,0x319E,0x319E,0x31A5,0x318D,0x32A1,0x32A2,0x0610,0x0611,0x0610,0x0611,0x0610,0x0611,0x0611,0x0611,0x0610
30,0x0612,0x0612,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x32A1,0x32A1,0x319F,0x319E,0x319E,0x319E,0x3275,0x319E,0x319E,0x319D,0x32A1,0x32A2,0x0610,0x0611,0x0610,0x0611,0x0610,0x0611,0x0611,0x0611,0x0610
31,0x0612,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0622,0x0611,0x0611,0x0612,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0658,0x0659,0x065A,0x0609,0x0609,0x0609,0x0609,0x0623,0x0611,0x0610,0x0611,0x0610,0x0611,0x0611,0x0611,0x0610
32,0x0623,0x0609,0x0622,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0611,0x0611,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0623,0x0611,0x0610,0x0611,0x0611,0x0611,0x0610
33,0x0611,0x0611,0x0612,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0623,0x0611,0x0611,0x0611,0x0610
34,0x0611,0x0611,0x0623,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0623
