map,BattleTower_Outside_Layout,width,29,height,30,primary,gTileset_General,secondary,gTileset_Dewford
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
10,0x1192,0x0473,0x0473,0x0473,0x0471,0x0473,0x0602,0x3001,0x3001,0x0602,0x3277,0x326F,0x0607,0x326C,0x326D,0x326E,0x0607,0x3201,0x3201,0x0607,0x3201,0x3201,0x0607,0x0475,0x0475,0x0474,0x047D,0x0475,0x1190
11,0x1192,0x0473,0x0473,0x0473,0x0471,0x0473,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3274,0x3275,0x3276,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0474,0x047D,0x0475,0x0475,0x0471,0x0475,0x1190
12,0x1192,0x0473,0x0473,0x0473,0x0471,0x047B,0x0489,0x3001,0x3001,0x3001,0x3001,0x3001,0x0602,0x327C,0x327D,0x327E,0x0602,0x3001,0x3001,0x3001,0x3001,0x3001,0x0475,0x0474,0x047D,0x0475,0x0474,0x047D,0x1190
13,0x1192,0x0473,0x0473,0x047B,0x0489,0x0471,0x0473,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0403,0x3001,0x3001,0x3001,0x3001,0x0474,0x047D,0x0475,0x0471,0x0475,0x0475,0x1180,0x1198
14,0x1192,0x0473,0x047B,0x0489,0x0473,0x0471,0x047B,0x0489,0x0602,0x0602,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0602,0x0602,0x0475,0x0474,0x047D,0x0474,0x047D,0x0475,0x1190,0x1170
15,0x1192,0x047B,0x0489,0x0473,0x047B,0x047C,0x0489,0x047B,0x0489,0x0602,0x0602,0x0602,0x3001,0x3001,0x3001,0x3001,0x3001,0x0602,0x0602,0x0602,0x0474,0x047D,0x0475,0x0471,0x0475,0x0471,0x0475,0x1190,0x1170
16,0x119A,0x1181,0x0473,0x047B,0x0489,0x0471,0x0473,0x0471,0x047B,0x047C,0x047C,0x047C,0x047C,0x30AF,0x30CF,0x30CF,0x047C,0x047C,0x047C,0x047C,0x047D,0x0474,0x047D,0x0471,0x0475,0x0471,0x0475,0x1190,0x1170
17,0x1170,0x1192,0x047B,0x0489,0x047B,0x0489,0x047B,0x047C,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x30AF,0x30CF,0x30CF,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x047D,0x0471,0x0471,0x0475,0x0471,0x0475,0x1190,0x1170
18,0x1170,0x119A,0x1181,0x0473,0x0471,0x0473,0x0471,0x0471,0x0471,0x0471,0x0474,0x04A9,0x04A9,0x30AF,0x30CF,0x30CF,0x04A9,0x04A9,0x0489,0x0471,0x0471,0x0471,0x0474,0x047C,0x047D,0x0474,0x047D,0x1190,0x1170
19,0x1170,0x1170,0x1192,0x0473,0x0471,0x047B,0x047C,0x047C,0x047C,0x047C,0x047D,0x0471,0x045D,0x305E,0x305E,0x305E,0x045F,0x0471,0x047B,0x047C,0x047C,0x047C,0x047D,0x0471,0x0471,0x0475,0x1180,0x1198,0x1170
20,0x1170,0x1170,0x1192,0x047B,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x047C,0x045D,0x305E,0x305E,0x305E,0x045F,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x047C,0x047C,0x047D,0x1190,0x1170,0x1170
21,0x1170,0x1170,0x119A,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x1189,0x045D,0x305E,0x305E,0x305E,0x045F,0x1682,0x1589,0x1589,0x1589,0x1589,0x1589,0x1589,0x1189,0x1189,0x1198,0x1170,0x1170
22,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x045D,0x305E,0x305E,0x305E,0x305E,0x3056,0x3056,0x3056,0x3056,0x3056,0x3056,0x0457,0x1170,0x1170,0x1170,0x1170,0x1170
23,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x045D,0x305E,0x305E,0x305E,0x305E,0x305E,0x305E,0x305E,0x305E,0x305E,0x305E,0x045F,0x1286,0x1170,0x1170,0x1170,0x1170
24,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0683,0x0684,0x0684,0x0684,0x0684,0x0684,0x0684,0x3288,0x3289,0x0684,0x0684,0x0685,0x1286,0x1170,0x1170,0x1170,0x1170
25,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x128B,0x128C,0x128C,0x128C,0x128C,0x128C,0x128C,0x128C,0x128C,0x128C,0x128C,0x128D,0x1286,0x1170,0x1170,0x1170,0x1170
26,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
27,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
28,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
29,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
