map,MtPyre_Summit_Layout,width,50,height,37,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
10,0x0473,0x0470,0x0472,0x0470,0x0473,0x0478,0x0479,0x0479,0x0479,0x0489,0x0472,0x3001,0x0470,0x0473,0x0472,0x3001,0x0478,0x0479,0x0479,0x0479,0x0479,0x0479,0x30AF,0x30CF,0x30CF,0x0479,0x0479,0x0479,0x0479,0x0479,0x047A,0x3001,0x0470,0x0475,0x0472,0x0470,0x0474,0x0479,0x0479,0x0489,0x0472,0x0472,0x3001,0x0470,0x0475,0x0472,0x3001,0x0475,0x0475,0x0475
11,0x0473,0x0470,0x0472,0x0470,0x0473,0x0468,0x0469,0x046A,0x3001,0x0470,0x0472,0x3001,0x0470,0x0473,0x0472,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x31D8,0x31D9,0x31DA,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0470,0x0475,0x0472,0x0470,0x0472,0x3001,0x3001,0x0470,0x0472,0x0472,0x3001,0x0470,0x0475,0x0472,0x3001,0x0475,0x0475,0x0475
12,0x0473,0x0470,0x0472,0x0470,0x0473,0x0470,0x0471,0x0472,0x3001,0x0470,0x0472,0x3001,0x0470,0x0473,0x00BF,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x046A,0x31D8,0x31D9,0x31DA,0x0468,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x00BF,0x0475,0x0472,0x0470,0x0472,0x3001,0x3001,0x0470,0x0472,0x0472,0x0468,0x00BE,0x0475,0x0472,0x3001,0x0475,0x0475,0x0475
13,0x0473,0x0470,0x0472,0x0470,0x0473,0x0478,0x0479,0x047A,0x3001,0x0470,0x0472,0x3001,0x0470,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047A,0x31D8,0x31D9,0x31DA,0x0478,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047D,0x0472,0x0470,0x0472,0x3001,0x3001,0x0470,0x0472,0x0472,0x0470,0x0474,0x047D,0x0472,0x3001,0x0475,0x0475,0x0475
14,0x0473,0x0478,0x047A,0x0470,0x0478,0x0479,0x0479,0x0479,0x0489,0x0473,0x0472,0x3001,0x0478,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0479,0x30AF,0x30CF,0x30CF,0x0479,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x047A,0x0470,0x0472,0x3001,0x3001,0x0478,0x047A,0x0472,0x0470,0x0475,0x0474,0x047A,0x3001,0x0475,0x0475,0x0475
15,0x0473,0x3001,0x3001,0x0470,0x3001,0x3001,0x3001,0x3001,0x0470,0x0473,0x00BF,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x046A,0x3001,0x3001,0x31D8,0x31D9,0x31DA,0x3001,0x3001,0x0468,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x00BE,0x00BF,0x0469,0x046A,0x0474,0x04A9,0x047A,0x0470,0x0475,0x0472,0x3001,0x3001,0x0475,0x0475,0x0475
16,0x0473,0x3001,0x3001,0x0470,0x0468,0x0469,0x0469,0x046A,0x0470,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047A,0x0724,0x3001,0x31D8,0x31D9,0x31DA,0x3001,0x0724,0x0478,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047D,0x0472,0x3001,0x3001,0x0470,0x0475,0x0472,0x3001,0x3001,0x0475,0x0475,0x0475
17,0x047B,0x0489,0x3001,0x0470,0x047B,0x0479,0x0489,0x0472,0x0478,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0479,0x0479,0x30AF,0x30CF,0x30CF,0x0479,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x047A,0x3001,0x3001,0x0478,0x047D,0x0472,0x3001,0x3001,0x0475,0x0475,0x0475
18,0x0471,0x0473,0x3001,0x0470,0x3001,0x3001,0x0470,0x0472,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x31D8,0x31D9,0x31DA,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0468,0x0469,0x0469,0x0469,0x0469,0x046A,0x3001,0x0474,0x0479,0x047A,0x3001,0x0474,0x047D,0x0475,0x0475
19,0x0471,0x0473,0x3001,0x0478,0x047C,0x0489,0x0473,0x00BF,0x046A,0x3001,0x3001,0x0468,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x046A,0x3001,0x31D8,0x31D9,0x31DA,0x3001,0x0468,0x0469,0x046A,0x3001,0x3001,0x3001,0x3001,0x3001,0x0468,0x047B,0x047C,0x047C,0x047C,0x047C,0x047D,0x046A,0x0472,0x3001,0x3001,0x3001,0x0475,0x0474,0x047D,0x0475
20,0x0471,0x0473,0x3001,0x3001,0x3001,0x0470,0x047B,0x0489,0x0472,0x3001,0x3001,0x0478,0x0489,0x0474,0x0479,0x0479,0x0479,0x0479,0x0489,0x0471,0x0472,0x3001,0x31D8,0x31D9,0x31DA,0x3001,0x0470,0x0471,0x0472,0x3001,0x0468,0x0469,0x046A,0x3001,0x0478,0x0491,0x0491,0x0491,0x0491,0x0489,0x0474,0x047A,0x0472,0x3001,0x3001,0x0474,0x047D,0x0475,0x0471,0x0475
21,0x0471,0x047B,0x0489,0x3001,0x3001,0x0470,0x3001,0x0470,0x0472,0x3001,0x3001,0x3001,0x0470,0x0472,0x0468,0x0469,0x046A,0x3001,0x0470,0x0471,0x0472,0x3001,0x31D8,0x31D9,0x31DA,0x3001,0x0470,0x0471,0x0472,0x3001,0x0470,0x0471,0x0472,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0470,0x0472,0x3001,0x0472,0x3001,0x3001,0x0475,0x0471,0x0475,0x0471,0x0475
22,0x0471,0x0471,0x047B,0x0489,0x3001,0x0470,0x3001,0x0470,0x0472,0x0724,0x3001,0x0724,0x0470,0x0472,0x0470,0x0471,0x0472,0x3001,0x0470,0x0471,0x0472,0x3001,0x31D8,0x31D9,0x31DA,0x3001,0x0470,0x0471,0x0472,0x3001,0x0478,0x0479,0x047A,0x3001,0x3001,0x0724,0x3001,0x0724,0x3001,0x0470,0x0472,0x3001,0x0472,0x3001,0x3001,0x0475,0x0474,0x047D,0x0471,0x0475
23,0x0489,0x0471,0x0471,0x0473,0x3001,0x0478,0x0489,0x0473,0x0472,0x3001,0x3001,0x3001,0x0470,0x0472,0x0478,0x0479,0x047A,0x3001,0x0470,0x0471,0x0472,0x3001,0x31D8,0x31D9,0x31DA,0x3001,0x0470,0x0471,0x0472,0x0725,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x0470,0x0472,0x3001,0x0472,0x3001,0x0474,0x047D,0x0475,0x0471,0x0471,0x0475
24,0x0473,0x0471,0x0471,0x0473,0x3001,0x3001,0x0470,0x0473,0x0472,0x3001,0x3001,0x3001,0x0470,0x0472,0x3001,0x3001,0x3001,0x0725,0x0470,0x0471,0x0472,0x3001,0x31D8,0x31D9,0x31DA,0x3001,0x0470,0x0471,0x0472,0x3001,0x3001,0x0725,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x0470,0x0475,0x0474,0x047A,0x3001,0x0475,0x0471,0x0475,0x0471,0x0471,0x0475
25,0x0473,0x0471,0x0471,0x0473,0x3001,0x3001,0x0470,0x0473,0x0472,0x0724,0x3001,0x0724,0x0470,0x0472,0x3001,0x0725,0x3001,0x3001,0x0470,0x0471,0x0472,0x3001,0x31D8,0x31D9,0x31DA,0x3001,0x0470,0x0471,0x0472,0x3001,0x0468,0x0469,0x046A,0x300D,0x300D,0x0724,0x300D,0x0724,0x300D,0x0470,0x0475,0x0472,0x3001,0x3001,0x0475,0x0474,0x047D,0x0471,0x0474,0x047D
26,0x0473,0x0471,0x0471,0x047B,0x047C,0x0489,0x0470,0x0473,0x0472,0x3001,0x3001,0x3001,0x0470,0x0472,0x0468,0x0469,0x046A,0x3001,0x0470,0x0471,0x0472,0x3001,0x31D8,0x31D9,0x31DA,0x3001,0x0470,0x0471,0x0472,0x3001,0x0470,0x0471,0x0472,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x0470,0x0475,0x0472,0x3001,0x3001,0x0475,0x0475,0x0471,0x0471,0x0475,0x0471
27,0x0473,0x0471,0x0471,0x0471,0x0471,0x0473,0x0470,0x0473,0x00BF,0x0469,0x0469,0x0469,0x00BF,0x0472,0x0470,0x0471,0x0472,0x3001,0x0470,0x0471,0x0472,0x3001,0x31D8,0x31D9,0x31DA,0x3001,0x0470,0x0471,0x0472,0x3001,0x0478,0x0479,0x047A,0x0468,0x0469,0x0469,0x0469,0x0469,0x0469,0x00BE,0x0475,0x0472,0x3001,0x3001,0x0475,0x0475,0x0471,0x0474,0x047D,0x0474
28,0x0473,0x0471,0x0471,0x0471,0x0471,0x0473,0x0470,0x047B,0x0479,0x0479,0x0479,0x0479,0x0479,0x047A,0x0478,0x0479,0x047A,0x3001,0x0470,0x0471,0x0472,0x3001,0x31E0,0x31E1,0x31E2,0x3001,0x0470,0x0471,0x0472,0x0725,0x3001,0x3001,0x3001,0x0478,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x047A,0x0472,0x3001,0x0474,0x047D,0x0475,0x0471,0x0475,0x0471,0x0475
29,0x0473,0x0471,0x0471,0x0471,0x0471,0x0473,0x0478,0x0489,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0725,0x0470,0x0471,0x0472,0x3001,0x3001,0x3001,0x3001,0x3001,0x0470,0x0471,0x0472,0x3001,0x3001,0x0725,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0472,0x3001,0x0475,0x0471,0x0475,0x0471,0x0475,0x0471,0x0475
30,0x0473,0x0471,0x0471,0x0471,0x0471,0x0473,0x3001,0x0478,0x047C,0x047C,0x047C,0x0489,0x3001,0x3001,0x3001,0x0725,0x3001,0x3001,0x0478,0x0479,0x047A,0x3001,0x3001,0x3001,0x3001,0x3001,0x0478,0x0479,0x047A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0474,0x047C,0x047C,0x047A,0x3001,0x0475,0x0474,0x047D,0x0471,0x0475,0x0471,0x0475
31,0x0473,0x0471,0x0471,0x0471,0x0471,0x0473,0x3001,0x3001,0x3001,0x3001,0x3001,0x0478,0x047C,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x3330,0x3331,0x3331,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x047A,0x3001,0x3001,0x3001,0x3001,0x0475,0x0475,0x0471,0x0471,0x0475,0x0471,0x0475
32,0x047B,0x047C,0x0489,0x0471,0x0471,0x047B,0x0489,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3401,0x372F,0x3740,0x373E,0x3401,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0475,0x0475,0x0471,0x0471,0x0475,0x0471,0x0475
33,0x0471,0x0471,0x047B,0x04A9,0x0489,0x0471,0x047B,0x0489,0x3001,0x3001,0x3001,0x3001,0x3001,0x0725,0x3001,0x3001,0x3001,0x0725,0x3001,0x3001,0x3001,0x0725,0x3737,0x3732,0x373F,0x0725,0x3001,0x3001,0x3001,0x0725,0x3001,0x3001,0x3001,0x0725,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0474,0x047D,0x0475,0x0471,0x0471,0x0475,0x0471,0x0475
34,0x047C,0x047C,0x0489,0x0471,0x047B,0x047C,0x0489,0x047B,0x047C,0x0489,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3401,0x3737,0x3732,0x373F,0x3401,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0474,0x047D,0x0471,0x0475,0x0474,0x047C,0x047D,0x0471,0x0475
35,0x0471,0x0471,0x047B,0x047C,0x047C,0x0489,0x0473,0x0471,0x0471,0x0473,0x3001,0x3001,0x3001,0x0724,0x3001,0x3001,0x3001,0x0724,0x3001,0x3001,0x3001,0x3401,0x3737,0x3732,0x373F,0x3401,0x3001,0x3001,0x3001,0x0724,0x3001,0x3001,0x3001,0x0724,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0475,0x0474,0x047C,0x047D,0x0475,0x0471,0x0474,0x047C,0x047D
36,0x0471,0x0471,0x0471,0x0471,0x0471,0x0473,0x0473,0x0471,0x0471,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x0489,0x3001,0x3401,0x3737,0x3732,0x373F,0x3401,0x3001,0x0474,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x047D,0x0475,0x0471,0x0471,0x0475,0x0474,0x047D,0x0471,0x0474
