map,RusturfTunnel_Layout,width,36,height,24,primary,gTileset_General,secondary,gTileset_RusturfTunnel
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
10,0x0612,0x0612,0x0612,0x3202,0x3207,0x3202,0x3201,0x0603,0x0610,0x0610,0x0605,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0605,0x0611,0x0611,0x0611,0x0611,0x0612,0x061B,0x321F,0x0619,0x0619,0x0619,0x061C,0x0610,0x0610
11,0x0612,0x0612,0x0609,0x0650,0x0651,0x0652,0x0609,0x0609,0x0609,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0606,0x0633,0x0621,0x0634,0x0611,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061A,0x0612,0x3201,0x3201,0x0604,0x0604,0x0610,0x0610,0x0610
12,0x0612,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0640,0x063C,0x0641,0x0611,0x0612,0x061B,0x0619,0x0619,0x0619,0x0619,0x0619,0x0619,0x061A,0x3201,0x3201,0x3201,0x0603,0x0610,0x0610,0x0610
13,0x0612,0x0611,0x0611,0x0611,0x0611,0x0633,0x0621,0x0621,0x0634,0x0620,0x0609,0x0609,0x0609,0x0609,0x0609,0x0622,0x061B,0x0619,0x0619,0x0619,0x061A,0x0612,0x0603,0x3202,0x3202,0x3202,0x0603,0x3202,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0610,0x0610
14,0x0612,0x0606,0x0611,0x0633,0x0634,0x0640,0x063C,0x063C,0x0641,0x0610,0x0611,0x0611,0x0633,0x0634,0x0611,0x0612,0x0612,0x061B,0x0619,0x0619,0x0619,0x061A,0x3202,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0608,0x0609,0x0610,0x0610
15,0x0609,0x0609,0x0622,0x0640,0x0641,0x0611,0x0611,0x0620,0x0609,0x0609,0x0605,0x0606,0x0640,0x0641,0x061B,0x061A,0x0612,0x0612,0x3201,0x3201,0x0603,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x0611,0x0610,0x0610
16,0x0605,0x0611,0x0609,0x0622,0x0611,0x0611,0x0620,0x0609,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x061B,0x061A,0x0612,0x3201,0x3201,0x3201,0x3201,0x0603,0x3201,0x3201,0x3201,0x3201,0x3201,0x3202,0x3207,0x3202,0x3201,0x0610,0x0620,0x0609,0x0610
17,0x0611,0x0606,0x0611,0x0609,0x0609,0x0609,0x0609,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x061B,0x061A,0x3201,0x3201,0x3201,0x3201,0x0608,0x0609,0x0609,0x0609,0x0609,0x0609,0x0650,0x0651,0x0652,0x0609,0x0609,0x0610,0x0611,0x0610
18,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0633,0x0634,0x0611,0x0611,0x0611,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x0608,0x0609,0x0620,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0611,0x0610
19,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0640,0x0641,0x0611,0x0611,0x0611,0x0612,0x0612,0x0612,0x3201,0x3201,0x3201,0x3201,0x0610,0x0611,0x0610,0x0620,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609
20,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x0612,0x3202,0x3207,0x3202,0x0603,0x0610,0x0620,0x0609,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
21,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0612,0x0609,0x0650,0x0651,0x0652,0x0609,0x0609,0x0610,0x0611,0x0610,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
22,0x0611,0x0611,0x0611,0x0611,0x0611,0x0633,0x0621,0x0634,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0612,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0611,0x0610,0x0611,0x0611,0x0633,0x0621,0x0634,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
23,0x0611,0x0611,0x0611,0x0611,0x0611,0x0640,0x063C,0x0641,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0609,0x0611,0x0611,0x0640,0x063C,0x0641,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611
