map,SkyPillar_Outside_Layout,width,28,height,23,primary,gTileset_General,secondary,gTileset_Pacifidlog
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
10,0x1170,0x1170,0x1170,0x119A,0x1181,0x0473,0x0473,0x047B,0x0489,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x0480,0x04BE,0x0471,0x0471,0x0475,0x06B8,0x32BA,0x0475,0x0471,0x0475,0x0471,0x0475,0x0190
11,0x1170,0x1170,0x1170,0x1170,0x1192,0x0473,0x0473,0x0471,0x0473,0x3124,0x3124,0x3124,0x3124,0x3124,0x0480,0x0473,0x0471,0x0471,0x0471,0x0475,0x048A,0x32BA,0x0475,0x0471,0x0475,0x0474,0x047D,0x0190
12,0x1170,0x1170,0x1170,0x1170,0x1192,0x0473,0x147B,0x1489,0x047B,0x0489,0x3124,0x3124,0x3124,0x3124,0x0488,0x047B,0x047C,0x0464,0x047C,0x047D,0x048A,0x32BA,0x0475,0x0474,0x047D,0x0475,0x0471,0x0190
13,0x1170,0x1170,0x1550,0x1551,0x1192,0x147B,0x1489,0x147B,0x1489,0x147B,0x1489,0x3124,0x3124,0x3124,0x0490,0x04A9,0x04A9,0x30A7,0x04A9,0x04A9,0x0492,0x0474,0x047D,0x0475,0x0474,0x047D,0x0180,0x0198
14,0x1170,0x1170,0x1558,0x1559,0x019A,0x0181,0x147B,0x1489,0x147B,0x1489,0x147B,0x1489,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x34E2,0x3124,0x3124,0x0475,0x0474,0x047D,0x0475,0x0180,0x0198,0x0170
15,0x1170,0x1170,0x1170,0x1170,0x1170,0x019A,0x0181,0x147B,0x1489,0x147B,0x1489,0x1473,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x3124,0x0474,0x047D,0x0475,0x0474,0x047D,0x1190,0x0170,0x0170
16,0x1550,0x1551,0x1170,0x1170,0x1170,0x1170,0x019A,0x0181,0x1473,0x0471,0x1473,0x147B,0x1489,0x3124,0x3124,0x3124,0x34E2,0x3124,0x0474,0x047C,0x047D,0x0471,0x0475,0x0475,0x1180,0x1198,0x0170,0x0170
17,0x1558,0x1559,0x1170,0x1170,0x1170,0x1170,0x0550,0x0565,0x1473,0x0471,0x147B,0x1489,0x147B,0x1489,0x34E2,0x3124,0x3124,0x0474,0x047D,0x0471,0x0474,0x047C,0x047D,0x0475,0x1190,0x1170,0x1550,0x1551
18,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x056D,0x147B,0x1489,0x0471,0x147B,0x1489,0x147B,0x047C,0x047C,0x047C,0x047D,0x0471,0x0474,0x047D,0x0474,0x047C,0x047D,0x1190,0x0170,0x1558,0x1559
19,0x1170,0x1170,0x1170,0x1170,0x1550,0x0551,0x1170,0x019A,0x0181,0x147B,0x1489,0x0471,0x147B,0x04A9,0x04A9,0x049F,0x04A9,0x04A9,0x047C,0x047D,0x0471,0x0475,0x1180,0x1189,0x1198,0x1170,0x0170,0x0170
20,0x1170,0x1170,0x1170,0x1170,0x1558,0x0559,0x1170,0x1170,0x119A,0x1181,0x147B,0x147C,0x04A9,0x04A9,0x04A9,0x30A7,0x04A9,0x04A9,0x04A9,0x04A9,0x047C,0x047D,0x1190,0x1170,0x1170,0x1170,0x1170,0x0170
21,0x1170,0x1170,0x1170,0x1170,0x0170,0x0550,0x0551,0x1170,0x1170,0x119A,0x1189,0x1189,0x1181,0x3124,0x3124,0x3124,0x3124,0x3124,0x1180,0x1189,0x055A,0x055B,0x1198,0x1170,0x1170,0x1170,0x1170,0x0170
22,0x0170,0x0170,0x0170,0x0170,0x0170,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x3124,0x3124,0x3124,0x3124,0x3124,0x1190,0x1170,0x0558,0x0559,0x1575,0x057B,0x057B,0x057B,0x0574,0x0170
