map,MagmaHideout_B1F_Layout,width,62,height,24,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
10,0x0620,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0609,0x320B,0x3259,0x3259,0x3259,0x3259,0x3259,0x0609,0x320B,0x3259,0x3259,0x3259,0x3259,0x3259,0x0609,0x3381,0x3380,0x33E5,0x07C3,0x07C5,0x33E5,0x33FD,0x33E5,0x33E5,0x060A,0x3229,0x3228,0x3228,0x3228,0x322A,0x322A,0x07DC,0x07DD,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x07E2,0x066D,0x066D,0x066D,0x066D,0x066D,0x066D,0x066D,0x066F,0x060A
11,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0611,0x062B,0x062C,0x062D,0x062E,0x06E0,0x06E0,0x0611,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x0611,0x3381,0x3380,0x33E5,0x33FB,0x33FC,0x33E5,0x33FA,0x33E5,0x32DF,0x060A,0x3229,0x3228,0x32DF,0x3228,0x3228,0x32DF,0x322A,0x322A,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x0676,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x0677,0x060A
12,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x0633,0x0634,0x0635,0x0636,0x0630,0x0631,0x060A,0x0630,0x0630,0x0631,0x0631,0x0621,0x0621,0x0609,0x33EE,0x33ED,0x33ED,0x33ED,0x33ED,0x33ED,0x33ED,0x33ED,0x33ED,0x0609,0x320B,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x0609,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x067E,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x067F,0x060A
13,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x063B,0x063C,0x063D,0x063E,0x3238,0x3239,0x060A,0x3238,0x3238,0x3239,0x3239,0x3229,0x3229,0x0610,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x0610,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x0611,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x3229,0x32DF,0x3228,0x3228,0x32DF,0x3228,0x3228,0x32DF,0x3228,0x060A
14,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x0643,0x0644,0x0645,0x0646,0x3229,0x3285,0x060A,0x3229,0x3228,0x32DF,0x3228,0x3228,0x3228,0x0620,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0620,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x07E2,0x066D,0x066D,0x066D,0x066D,0x066D,0x066D,0x066D,0x066F,0x060A
15,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x064B,0x064C,0x064D,0x064E,0x3229,0x3228,0x060A,0x3229,0x3228,0x3228,0x3228,0x3228,0x3228,0x3213,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3213,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x0676,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x0677,0x060A
16,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x3229,0x0655,0x0656,0x3229,0x32DF,0x3228,0x0609,0x320B,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x321E,0x33E9,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3228,0x3228,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x067E,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x067F,0x060A
17,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x3229,0x3229,0x3229,0x3229,0x3228,0x3228,0x0611,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x0610,0x07E1,0x060C,0x060D,0x3202,0x3241,0x3242,0x3202,0x3202,0x3240,0x3242,0x33E9,0x33E9,0x3202,0x3228,0x3228,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x3229,0x32DF,0x3228,0x3228,0x32DF,0x3228,0x3228,0x32DF,0x3228,0x060A
18,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x3229,0x3228,0x3228,0x3228,0x33D8,0x33D9,0x060A,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0620,0x07E8,0x0614,0x0615,0x3202,0x0649,0x064A,0x3202,0x3202,0x0648,0x064A,0x07E8,0x07E8,0x3202,0x3228,0x3228,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0609,0x320B,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x0609
19,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x3229,0x3228,0x33D8,0x33D9,0x07DC,0x07DD,0x060A,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3213,0x3202,0x321D,0x321D,0x3202,0x321D,0x3202,0x3202,0x3202,0x321D,0x3202,0x3202,0x321D,0x3202,0x3228,0x32DF,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0610,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x0610
20,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x33D8,0x33D9,0x37DA,0x37DB,0x3228,0x3228,0x060A,0x3229,0x3228,0x32DF,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3228,0x3228,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0620,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0620
21,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0609,0x37E7,0x37EF,0x37E7,0x37EF,0x07E7,0x07EF,0x0609,0x320B,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x0609,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
22,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0610,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x0610,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x0610,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
23,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0620,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0620,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0620,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
