map,Route102_Layout,width,50,height,20,primary,gTileset_General,secondary,gTileset_Petalburg
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
10,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x3001,0x3001,0x31CE,0x31CF,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x3001,0x3001,0x3001,0x3001,0x3001,0x31D0,0x31D1,0x31D1,0x31D2,0x3001,0x3001,0x3001,0x3001,0x3001
11,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E7,0x3001,0x3001,0x05D6,0x05D5,0x05DC,0x05DD,0x05DC,0x05DD,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05E4,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x31D0,0x31D1,0x31D1,0x31D9,0x31D9,0x31D9,0x31DA,0x3001,0x3001,0x3001,0x31CE,0x31CF
12,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x3001,0x3001,0x05E6,0x05E5,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x3001,0x3001,0x31CE,0x31CF,0x3001,0x3001,0x3001,0x05E6,0x05E5,0x05E4,0x05E7,0x300D,0x300D,0x05D4,0x05D5,0x05D4,0x05D5,0x31D0,0x31D1,0x31D9,0x31D9,0x31D9,0x31D9,0x31D9,0x31E1,0x31E2,0x3001,0x3001,0x3001,0x05D6,0x05D5
13,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x300D,0x300D,0x04D5,0x0487,0x0487,0x04D6,0x05DC,0x05DD,0x05DC,0x05DD,0x31C6,0x31C7,0x3001,0x3001,0x3001,0x05D6,0x05D7,0x31CE,0x31CF,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x05E6,0x05E5,0x05E4,0x05E7,0x31D8,0x31D9,0x31D9,0x31D9,0x31D9,0x31E1,0x31E2,0x3001,0x31CE,0x31CF,0x31CE,0x31CF,0x05DC,0x05DD
14,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x3001,0x3001,0x3001,0x05E6,0x05E5,0x05D4,0x05D7,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x31D0,0x31D9,0x31D9,0x31E1,0x31E1,0x31E2,0x3001,0x3001,0x3001,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
15,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x300D,0x300D,0x300D,0x3001,0x31CE,0x31CF,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x300D,0x300D,0x300D,0x05E6,0x05E7,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x31E0,0x31E1,0x31E2,0x3001,0x3001,0x31CE,0x31CF,0x31CE,0x31CF,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD
16,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x300D,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
17,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x31C6,0x31C7,0x31C6,0x31C7,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x31CE,0x31C7,0x31C6,0x31C7,0x31C6,0x31C7,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD
18,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
19,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x31C6,0x31C7,0x31C6,0x31C7,0x31CE,0x31CF,0x31CE,0x31CF,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD
