map,NewMauville_Inside_Layout,width,41,height,41,primary,gTileset_General,secondary,gTileset_BikeShop
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
28,0x0670,0x06C2,0x06C0,0x3210,0x3210,0x3210,0x06C0,0x06C0,0x0696,0x0627,0x0627,0x0695,0x327D,0x06C0,0x06C1,0x3210,0x3210,0x3210,0x3210,0x327F,0x327E,0x3210,0x3210,0x3210,0x3210,0x3210,0x0672,0x0608,0x0608,0x0680,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0682,0x0608,0x0670,0x327D,0x0672
29,0x0678,0x3279,0x328D,0x3285,0x3210,0x328E,0x3237,0x3237,0x067A,0x0608,0x0608,0x0678,0x3279,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x067A,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0670,0x327D,0x0672
30,0x0680,0x0627,0x0695,0x327D,0x3210,0x0696,0x0627,0x0627,0x0682,0x0608,0x0608,0x0680,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0682,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0670,0x327D,0x0672
31,0x0608,0x0608,0x0670,0x327D,0x3210,0x0672,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0670,0x327D,0x0672
32,0x0608,0x0608,0x0670,0x327D,0x3210,0x0672,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0668,0x0699,0x069A,0x0688,0x061F,0x061F,0x061F,0x061F,0x066A,0x0608,0x0608,0x0608,0x0608,0x0668,0x0699,0x069A,0x061F,0x061F,0x065C,0x066E,0x065D,0x0699,0x069A,0x06A7,0x0608,0x0670,0x327D,0x0672
33,0x0608,0x0608,0x0670,0x327D,0x3210,0x0672,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0670,0x06A1,0x06A2,0x0690,0x0627,0x06B3,0x06B2,0x06B3,0x0672,0x0608,0x0608,0x0608,0x0608,0x0670,0x06A1,0x06A2,0x06B2,0x06B4,0x0693,0x3276,0x0694,0x06A1,0x06A2,0x0661,0x06B6,0x068B,0x327D,0x0672
34,0x0608,0x0608,0x0670,0x327D,0x3210,0x068C,0x061F,0x061F,0x061F,0x061F,0x061F,0x061F,0x061F,0x068B,0x32B5,0x32AA,0x0690,0x3275,0x32BB,0x32BA,0x32BB,0x068C,0x061F,0x06B7,0x061F,0x061F,0x068B,0x32B5,0x32AA,0x32BA,0x32BC,0x322F,0x322F,0x322F,0x32A9,0x32AA,0x0694,0x06BE,0x0693,0x327D,0x0672
35,0x0608,0x0608,0x0670,0x327D,0x3210,0x0694,0x0627,0x06B3,0x06B3,0x06B2,0x06B3,0x0627,0x0627,0x0693,0x327D,0x3210,0x0698,0x327D,0x3210,0x3210,0x3210,0x0694,0x0627,0x06BF,0x0627,0x0627,0x0693,0x327D,0x3210,0x3210,0x3210,0x3210,0x3210,0x3210,0x3210,0x3210,0x327F,0x36C6,0x322F,0x327E,0x0672
36,0x0608,0x0608,0x0670,0x327D,0x3210,0x327F,0x322F,0x32BB,0x32BB,0x32BA,0x32BB,0x322F,0x322F,0x322F,0x327E,0x3210,0x06A0,0x327D,0x322E,0x3210,0x3210,0x327F,0x322F,0x36C7,0x322F,0x322F,0x322F,0x327E,0x3210,0x3210,0x3210,0x329E,0x326F,0x3237,0x3237,0x3237,0x328E,0x36CE,0x3237,0x3237,0x067A
37,0x0608,0x0608,0x0678,0x3279,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x328D,0x3285,0x3210,0x327F,0x327E,0x3210,0x3210,0x3210,0x328E,0x3237,0x36CF,0x3237,0x3237,0x328D,0x3285,0x3210,0x3210,0x3210,0x06A6,0x0677,0x06B4,0x06B4,0x0627,0x0696,0x0627,0x0627,0x0627,0x0682
38,0x0608,0x0608,0x0680,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0695,0x327D,0x3210,0x3210,0x3210,0x3210,0x3210,0x3210,0x0696,0x0627,0x0627,0x0627,0x0627,0x0695,0x327D,0x3210,0x3210,0x3236,0x327F,0x322F,0x32BC,0x32BD,0x322F,0x0672,0x0608,0x0608,0x0608,0x0608
39,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0678,0x3279,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x067A,0x0608,0x0608,0x0608,0x0608,0x0678,0x3279,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x3237,0x067A,0x0608,0x0608,0x0608,0x0608
40,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0680,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0682,0x0608,0x0608,0x0608,0x0608,0x0680,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0627,0x0682,0x0608,0x0608,0x0608,0x0608
