map,Route117_Layout,width,60,height,20,primary,gTileset_General,secondary,gTileset_Mauville
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
10,0x3205,0x3204,0x3001,0x3204,0x3001,0x3204,0x3001,0x3001,0x3118,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3121,0x3122,0x3001,0x3001,0x10B0,0x10B1,0x10B2,0x320C,0x3001,0x3001,0x3001,0x3001,0x3128,0x3129,0x3121,0x3121,0x3121,0x3121,0x3121,0x3121,0x312A,0x3001,0x31CE,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x31CF,0x3001,0x3128,0x3121,0x3121,0x3121,0x3129,0x312A,0x3001,0x3001,0x3001,0x3001,0x3001
11,0x3204,0x3204,0x3204,0x3001,0x3001,0x3001,0x3001,0x3001,0x3128,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x312A,0x3001,0x3001,0x10B8,0x10A1,0x10C2,0x10B2,0x3213,0x3001,0x3001,0x3001,0x3001,0x3001,0x3128,0x3129,0x3121,0x3121,0x3121,0x3122,0x3001,0x3001,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x3001,0x3001,0x3120,0x3121,0x312A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
12,0x3204,0x3001,0x3205,0x3001,0x3204,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x10B8,0x10A1,0x10A1,0x10C2,0x10B1,0x10B2,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3128,0x3121,0x3121,0x3122,0x3001,0x3001,0x05DC,0x05DD,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05F2,0x05F3,0x05E7,0x3001,0x0403,0x3120,0x3122,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300F,0x300F
13,0x0549,0x0549,0x0440,0x0440,0x0440,0x0440,0x0549,0x0549,0x0538,0x0549,0x0549,0x3001,0x3001,0x3001,0x0549,0x0549,0x053A,0x3001,0x300D,0x300D,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10BA,0x3001,0x3213,0x3001,0x3001,0x3001,0x3001,0x3001,0x3120,0x3121,0x3121,0x311A,0x3001,0x05D4,0x05D5,0x314B,0x354C,0x354C,0x354C,0x314D,0x05D4,0x05D5,0x3001,0x3001,0x3118,0x3121,0x3122,0x3001,0x3001,0x3001,0x300F,0x300F,0x300F,0x04C6,0x04C6
14,0x3001,0x300F,0x04C6,0x04C7,0x04C6,0x04C6,0x300F,0x300F,0x0540,0x320E,0x3215,0x320C,0x3213,0x320A,0x3211,0x3208,0x0542,0x300D,0x300D,0x300D,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10C2,0x10B1,0x10B2,0x3001,0x300D,0x300D,0x300D,0x3001,0x3128,0x3121,0x3121,0x3122,0x3001,0x05E6,0x05E7,0x3113,0x3114,0x3114,0x3114,0x3115,0x05E4,0x05E7,0x3001,0x3001,0x3120,0x3121,0x312A,0x3001,0x300F,0x300F,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6
15,0x300F,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0540,0x3217,0x320E,0x3215,0x320C,0x3213,0x320A,0x3211,0x0542,0x300D,0x300D,0x300D,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10BA,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3120,0x3121,0x3121,0x311A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3118,0x3121,0x3122,0x3001,0x3001,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6
16,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x0540,0x320F,0x3217,0x320E,0x3215,0x320C,0x3213,0x320A,0x0542,0x300D,0x300D,0x300D,0x10B8,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10A1,0x10BA,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3128,0x3121,0x3121,0x3121,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3121,0x3121,0x312A,0x3001,0x300F,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6
17,0x04C6,0x04C6,0x04C6,0x0416,0x0416,0x0416,0x0416,0x0416,0x0548,0x3001,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x054A,0x0440,0x0440,0x0440,0x10B8,0x102D,0x102D,0x102D,0x102D,0x102D,0x102D,0x10BA,0x3025,0x3025,0x300D,0x300D,0x300D,0x300D,0x300D,0x3128,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x312A,0x3001,0x300F,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6
18,0x04C7,0x04C7,0x04C7,0x300F,0x3001,0x300F,0x300F,0x300F,0x300F,0x300F,0x3001,0x300F,0x300F,0x300F,0x300F,0x300F,0x3001,0x04C6,0x04C6,0x04C6,0x301D,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x301D,0x04C6,0x04C6,0x3025,0x3025,0x300D,0x300D,0x300D,0x3001,0x3001,0x300F,0x300F,0x300F,0x300F,0x300F,0x300F,0x300F,0x300F,0x300F,0x300F,0x300F,0x3001,0x3001,0x300F,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6
19,0x04C6,0x04C6,0x04C6,0x04C6,0x300F,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x300F,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x300F,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x3025,0x3025,0x3025,0x300F,0x300F,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x300F,0x300F,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7
