map,Underwater_SealedChamber_Layout,width,22,height,48,primary,gTileset_General,secondary,gTileset_Underwater
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
30,0x0613,0x0613,0x0613,0x0613,0x0613,0x0614,0x0613,0x0611,0x32BC,0x32D9,0x32CC,0x32D6,0x32D2,0x32BA,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
31,0x0613,0x0613,0x0613,0x0613,0x0613,0x0614,0x0613,0x0611,0x32BC,0x32D3,0x32D4,0x32D6,0x32D2,0x32BA,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
32,0x0613,0x0613,0x0613,0x0613,0x0613,0x0623,0x060F,0x0611,0x32C9,0x32B4,0x32D4,0x32D6,0x32D2,0x32BA,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
33,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0614,0x0620,0x0609,0x32BC,0x32D4,0x32D6,0x32D2,0x32BA,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
34,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0614,0x0613,0x0611,0x32BC,0x32D4,0x32CA,0x32CB,0x32BA,0x0610,0x0612,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613
35,0x0613,0x0613,0x0613,0x0613,0x0613,0x0613,0x0614,0x0613,0x0611,0x32BC,0x32CB,0x32CB,0x32D3,0x32BA,0x0610,0x061D,0x061B,0x061B,0x0607,0x0613,0x0613,0x0613
36,0x0613,0x0613,0x0613,0x0613,0x0606,0x061B,0x061F,0x0613,0x0611,0x32BC,0x32D3,0x32D3,0x32D3,0x32BA,0x0618,0x061B,0x061B,0x0607,0x061D,0x061B,0x0607,0x0613
37,0x0613,0x0613,0x0613,0x0606,0x061F,0x0613,0x0606,0x061B,0x0619,0x32BC,0x32D3,0x32D3,0x32D3,0x32C2,0x32C3,0x32C3,0x32C1,0x0618,0x061B,0x0607,0x061D,0x0607
38,0x0613,0x0613,0x0613,0x0614,0x0606,0x061B,0x0619,0x32C0,0x32C3,0x32C4,0x32D3,0x32D3,0x32D3,0x32D3,0x32D3,0x32D3,0x32C2,0x32C3,0x32C1,0x0610,0x0613,0x0612
39,0x0613,0x0613,0x0613,0x0614,0x0611,0x32C0,0x32C3,0x32C4,0x32D3,0x0602,0x0620,0x0620,0x0620,0x0620,0x0620,0x0603,0x32D3,0x32D3,0x32BA,0x0618,0x0607,0x0612
40,0x0613,0x0613,0x0613,0x0614,0x0611,0x32BC,0x32D3,0x32D3,0x32B2,0x0610,0x0613,0x0613,0x0613,0x0613,0x0613,0x0611,0x32B4,0x32D3,0x32C2,0x32C1,0x0610,0x0612
41,0x0613,0x0613,0x0613,0x0614,0x0611,0x32BC,0x32D3,0x32D3,0x32BA,0x0610,0x0613,0x0613,0x0613,0x0613,0x0613,0x0611,0x32BC,0x32D3,0x32D3,0x32BA,0x0610,0x0612
42,0x0613,0x0613,0x0613,0x0614,0x0611,0x32BC,0x32D3,0x32D3,0x32BA,0x0610,0x0613,0x0613,0x0613,0x0613,0x0613,0x0611,0x32BC,0x32D3,0x32D3,0x32BA,0x0610,0x0612
43,0x0613,0x0613,0x0613,0x0614,0x0611,0x32BC,0x32D3,0x32D3,0x32BA,0x0618,0x061E,0x061E,0x0670,0x061E,0x061E,0x0619,0x32BC,0x32D3,0x32D3,0x32BA,0x0610,0x0612
44,0x0613,0x0613,0x0613,0x0614,0x0611,0x32BC,0x32D3,0x32D3,0x32C2,0x32C3,0x32C3,0x3243,0x3243,0x3243,0x32C3,0x32C3,0x32C4,0x32D3,0x32D3,0x32BA,0x0610,0x0612
45,0x0613,0x0613,0x0613,0x0614,0x0611,0x32B3,0x32B4,0x32D3,0x32D3,0x32D3,0x32D3,0x3253,0x3253,0x3253,0x32D3,0x32D3,0x32D3,0x32B2,0x32B3,0x32B3,0x0610,0x0612
46,0x0613,0x0613,0x0613,0x0614,0x0623,0x0609,0x32BC,0x32D3,0x32D3,0x32D3,0x32D3,0x3253,0x3253,0x3253,0x32D3,0x32D3,0x32D3,0x32BA,0x0608,0x0620,0x0622,0x0612
47,0x0613,0x0613,0x0613,0x0614,0x0613,0x0623,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0620,0x0622,0x0613,0x0613,0x0612
