map,Route123_Layout,width,140,height,20,primary,gTileset_General,secondary,gTileset_Lilycove
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139
10,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0540,0x0416,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x31D8,0x31DA,0x3001,0x3001,0x3001,0x0540,0x3001,0x3001,0x0485,0x3001,0x3001,0x300E,0x300E,0x300E,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300F,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x300D,0x300D,0x3001,0x0485,0x300F,0x04C6,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x04C6,0x3025,0x300D,0x300D,0x0416,0x0416,0x04C6,0x04C6,0x3001,0x3001,0x3001,0x3001,0x0416,0x04C6,0x04C6,0x04C6,0x04C6,0x3025,0x300D,0x300D,0x300D,0x300D,0x300D,0x0416,0x04C7,0x04C7,0x3001,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x3001,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x04C7,0x04C6,0x04C7,0x04C7,0x04C7,0x343E,0x343E,0x343E,0x0403,0x3001,0x3001,0x3001,0x3001,0x343E,0x343E,0x343E,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C7
11,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0548,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x3001,0x31D8,0x31DA,0x3001,0x0549,0x0549,0x0532,0x3001,0x3001,0x048D,0x3487,0x3487,0x04C7,0x04C7,0x04C7,0x300E,0x34D5,0x3487,0x3487,0x3487,0x3487,0x3487,0x346F,0x300E,0x300E,0x300E,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x3001,0x3001,0x3001,0x0506,0x04C6,0x04C6,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300F,0x04C6,0x04C6,0x300D,0x300D,0x300D,0x300D,0x0416,0x0416,0x34D5,0x0487,0x0487,0x0487,0x04D6,0x04C6,0x04C6,0x04C6,0x04C6,0x0416,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x0416,0x0416,0x3001,0x0416,0x0416,0x0416,0x0416,0x0416,0x04C7,0x04C7,0x04C7,0x3001,0x04C7,0x04C7,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x0416,0x3001,0x34E0,0x3001,0x3001,0x3001,0x3118,0x311A,0x3001,0x3001,0x34E0,0x3001,0x0416,0x04C7,0x04C6,0x04C7,0x04C6,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x04C6
12,0x300F,0x300F,0x300F,0x300F,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3403,0x3001,0x3001,0x3004,0x3001,0x3001,0x3004,0x3001,0x3001,0x3004,0x3001,0x31D8,0x31DA,0x3001,0x3004,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0416,0x04C7,0x04C7,0x04C7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0485,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x0416,0x3001,0x3001,0x3001,0x300F,0x04C6,0x0416,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300F,0x04C6,0x04C6,0x04C6,0x3025,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0416,0x0416,0x0416,0x0416,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x04C7,0x04C7,0x04C7,0x3001,0x04C7,0x04C7,0x04C7,0x04C7,0x04C7,0x04C6,0x0416,0x0416,0x0416,0x0416,0x0416,0x3001,0x3001,0x3001,0x3001,0x3001,0x3118,0x3121,0x3122,0x3001,0x3001,0x3001,0x3001,0x3001,0x04C6,0x04C6,0x04C6,0x04C6,0x3001,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x04C7
13,0x04C7,0x04C7,0x04C7,0x04C7,0x300F,0x300F,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x31D8,0x31DA,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0416,0x0416,0x0416,0x3004,0x3001,0x3001,0x3004,0x3001,0x3001,0x0485,0x0416,0x04C6,0x04C6,0x04C6,0x04C7,0x04C7,0x04C7,0x0416,0x3001,0x3001,0x3001,0x3001,0x0416,0x0416,0x34D5,0x3487,0x3487,0x3487,0x3487,0x3487,0x34D6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x3025,0x3025,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x04FE,0x3001,0x3001,0x34E0,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x0416,0x0416,0x0416,0x3001,0x0416,0x04C6,0x04C6,0x04C6,0x04C6,0x0416,0x314B,0x354C,0x354C,0x354C,0x314D,0x3001,0x3001,0x3118,0x3119,0x3119,0x3121,0x3121,0x312A,0x3001,0x3001,0x3001,0x3001,0x3001,0x0416,0x0416,0x0416,0x0416,0x3001,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C7,0x04C6
14,0x04C6,0x04C6,0x04C7,0x04C7,0x04C6,0x04C6,0x300F,0x3001,0x31D0,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D9,0x31D9,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D1,0x31D2,0x3001,0x3001,0x0485,0x3001,0x0416,0x0416,0x04C6,0x04C6,0x04C6,0x04C6,0x34D5,0x3487,0x3487,0x3487,0x3487,0x3487,0x046F,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0416,0x0416,0x04C6,0x04C6,0x04C6,0x04C6,0x0416,0x300D,0x3001,0x3001,0x3001,0x3001,0x3118,0x3119,0x3119,0x311A,0x3001,0x0485,0x3118,0x3119,0x3119,0x3119,0x311A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x0416,0x0416,0x0416,0x0416,0x3001,0x3113,0x3114,0x3114,0x3114,0x3115,0x3118,0x3119,0x3121,0x3121,0x3121,0x3121,0x312A,0x3001,0x3001,0x3001,0x3001,0x300E,0x300E,0x300E,0x300E,0x300E,0x3001,0x300E,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C7,0x04C6,0x04C7
15,0x04C7,0x04C7,0x04C6,0x04C6,0x04C7,0x04C6,0x04C6,0x300F,0x31E0,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E1,0x31E2,0x3001,0x3001,0x0485,0x3001,0x3001,0x3001,0x0416,0x0416,0x0416,0x0416,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0485,0x3001,0x3118,0x3119,0x3119,0x3119,0x3119,0x3119,0x311A,0x3001,0x0416,0x0416,0x0416,0x0416,0x3001,0x04FE,0x3001,0x3118,0x3119,0x3119,0x3121,0x3121,0x3129,0x312A,0x3001,0x0485,0x3128,0x3129,0x3129,0x3121,0x3121,0x3119,0x3119,0x3119,0x311A,0x34E0,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3118,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x3121,0x3121,0x3121,0x3129,0x3129,0x312A,0x3001,0x3001,0x34E0,0x300E,0x300E,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x3001,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C7,0x04C6
16,0x04C7,0x04C7,0x04C6,0x04C7,0x04C7,0x04C6,0x04C7,0x04C7,0x300F,0x300F,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300E,0x300E,0x300E,0x300E,0x3001,0x3001,0x3001,0x3001,0x3001,0x0485,0x3001,0x3001,0x3118,0x3119,0x3119,0x3119,0x3119,0x3119,0x3119,0x311A,0x3001,0x3001,0x3001,0x0485,0x3001,0x3128,0x3129,0x3129,0x3129,0x3129,0x3121,0x3121,0x3119,0x3119,0x3119,0x3119,0x311A,0x3001,0x0485,0x3001,0x3128,0x3129,0x3129,0x3129,0x312A,0x3001,0x3001,0x3001,0x0485,0x3001,0x3001,0x3001,0x3128,0x3129,0x3129,0x3129,0x3129,0x312A,0x300E,0x3025,0x3025,0x3025,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3128,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x312A,0x3001,0x3001,0x3001,0x3001,0x300E,0x300E,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x3001,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C7,0x04C6
17,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C7,0x04C7,0x04C7,0x3440,0x0549,0x3001,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x0549,0x3440,0x3440,0x0549,0x0549,0x0549,0x0549,0x0549,0x3001,0x3440,0x04C6,0x04C6,0x04C6,0x04C6,0x300E,0x300E,0x300E,0x3001,0x3001,0x0485,0x300F,0x3001,0x3128,0x3129,0x3129,0x3129,0x3129,0x3129,0x3129,0x312A,0x3001,0x3001,0x3001,0x0506,0x300F,0x300F,0x3001,0x3001,0x3001,0x3001,0x3128,0x3129,0x3129,0x3129,0x3129,0x3129,0x312A,0x3001,0x0485,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x34E0,0x3001,0x0506,0x300E,0x300E,0x3001,0x3001,0x3001,0x300E,0x300E,0x300E,0x300E,0x04C6,0x04C6,0x04C6,0x04C6,0x3025,0x3025,0x3025,0x3025,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x34E0,0x3001,0x3001,0x3001,0x3001,0x3001,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x04C7,0x04C6,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x3001,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416,0x0416
18,0x04C7,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C6,0x04C7,0x04C6,0x04C7,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x04C7,0x04C7,0x300E,0x3001,0x300F,0x300F,0x300E,0x300E,0x04C6,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x300E,0x300E,0x0506,0x04C7,0x300F,0x300F,0x3001,0x3001,0x3001,0x3001,0x34E0,0x3001,0x300F,0x300F,0x300F,0x300F,0x300F,0x04C6,0x04C6,0x300F,0x300F,0x300F,0x300F,0x3001,0x3001,0x3001,0x3001,0x34E0,0x3001,0x3001,0x3001,0x0506,0x300F,0x300F,0x300F,0x3001,0x3001,0x3001,0x300F,0x300F,0x300F,0x300E,0x04C6,0x04C6,0x300E,0x300E,0x300E,0x04C6,0x04C6,0x04C7,0x04C6,0x04C6,0x04C6,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x300E,0x300E,0x34E0,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300E,0x300E,0x300E,0x300E,0x300E,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x3001
19,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x300F,0x04C6,0x04C6,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C7,0x04C6,0x04C7,0x04C7,0x04C7,0x04C7,0x300E,0x04C7,0x04C7,0x04C7,0x300F,0x300F,0x300F,0x300F,0x300F,0x300F,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x300F,0x300F,0x300F,0x300F,0x300F,0x300F,0x300F,0x300F,0x300F,0x04C7,0x04C7,0x04C7,0x300F,0x300F,0x300F,0x04C7,0x04C7,0x04C7,0x04C6,0x04C6,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C6,0x04C6,0x04C7,0x04C6,0x04C7,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x300E,0x04C6,0x04C6,0x04C7,0x04C6,0x04C7,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C7,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x04C6,0x300E
