map,UnknownMap_082EDF30_Layout,width,58,height,26,primary,gTileset_General,secondary,0
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
10,0x0638,0x3207,0x3266,0x3266,0x3266,0x3266,0x3207,0x3207,0x3207,0x4210,0x4211,0x4211,0x4212,0x3202,0x3202,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3202,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
11,0x0638,0x3207,0x3207,0x0643,0x0645,0x0645,0x0644,0x3207,0x3207,0x0628,0x0629,0x062A,0x061A,0x0647,0x0632,0x3203,0xF20B,0xF20C,0xF20C,0xF20D,0x3203,0x3203,0x020E,0x020F,0x3203,0x3203,0x020E,0x020F,0x020E,0x020F,0x020E,0x020F,0x020E,0x020F,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
12,0x0638,0x3207,0x3207,0x0633,0x020E,0x020F,0x0635,0x3207,0x3207,0x0620,0x0225,0x0622,0x0623,0x0207,0x063A,0x3203,0x4213,0x4214,0x4214,0x4215,0x3203,0x3203,0x0616,0x0617,0x3203,0x3203,0x0616,0x0617,0x0616,0x0617,0x0616,0x0617,0x0616,0x0617,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
13,0x0638,0x3207,0x3207,0x0633,0x0216,0x0217,0x0635,0x3207,0x3207,0x0604,0x3207,0x0604,0x0604,0x0604,0x063A,0x3203,0x062B,0x062C,0x062D,0x061D,0x020E,0x020F,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x020E,0x020F,0x020E,0x020F,0x020E,0x020F,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
14,0x0638,0x3207,0x3207,0x0605,0x0647,0x0647,0x0605,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x063A,0x3203,0x0624,0x0225,0x0626,0x0627,0x0616,0x0617,0x3203,0x3203,0x3203,0x3202,0x3203,0x3203,0x0616,0x0617,0x0616,0x0617,0x0616,0x0617,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
15,0x0638,0x3207,0x3207,0x0606,0x0604,0x0604,0x0606,0x3207,0x3207,0x3207,0x3272,0x3207,0x3207,0x3207,0x0648,0x0604,0x0604,0x3202,0x0604,0x0604,0x063C,0x063C,0x0604,0x0601,0x3202,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x020E,0x020F,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
16,0x0638,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3202,0x3202,0x3203,0x3203,0x3203,0x3203,0x3202,0x3203,0x0616,0x0617,0x3202,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
17,0x0638,0x0605,0x0605,0x0605,0x3207,0x3207,0x3207,0x3207,0x3271,0x3207,0x3207,0x3207,0x3270,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3203,0x3203,0x3203,0x3203,0x3203,0x3202,0x3203,0x3203,0x020E,0x020F,0x3202,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
18,0x0638,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3202,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x0616,0x0617,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
19,0x0638,0x3207,0x3268,0x3268,0x3268,0x3268,0x326B,0x3207,0x3207,0x3207,0x3273,0x3207,0x0643,0x0649,0x0649,0x0649,0x0649,0x0649,0x0649,0x0644,0x3207,0x3207,0x3207,0x0601,0x3203,0x3202,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x020E,0x020F,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
20,0x0638,0x3207,0x326A,0x3207,0x3207,0x3207,0x326B,0x3207,0x3207,0x3207,0x3207,0x3207,0x0633,0x020E,0x020F,0x020E,0x020F,0x020E,0x020F,0x0635,0x3207,0x3207,0x3207,0x063A,0x020E,0x020F,0x020E,0x020F,0x020E,0x020F,0x020E,0x020F,0x0616,0x0617,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
21,0x0638,0x3207,0x326A,0x3207,0x3207,0x3207,0x326B,0x3207,0x3207,0x3207,0x3207,0x3207,0x0633,0x0616,0x0617,0x0616,0x0617,0x0616,0x0617,0x0635,0x3207,0x3207,0x3207,0x063A,0x0616,0x0617,0x0616,0x0617,0x0616,0x0617,0x0616,0x0617,0x0203,0x0203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
22,0x0638,0x3207,0x326A,0x3207,0x3207,0x3207,0x326B,0x3207,0x3207,0x3207,0x3207,0x3207,0x0633,0x020E,0x020F,0x020E,0x020F,0x020E,0x020F,0x0635,0x3207,0x3207,0x3207,0x063A,0x020E,0x020F,0x020E,0x020F,0x020E,0x020F,0x020E,0x020F,0x020E,0x020F,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
23,0x0638,0x3207,0x326A,0x3269,0x3207,0x3269,0x3269,0x3207,0x3207,0x3207,0x3207,0x3207,0x0633,0x0616,0x0617,0x0616,0x0617,0x0616,0x0617,0x0635,0x3207,0x3207,0x3207,0x063A,0x0616,0x0617,0x0616,0x0617,0x0616,0x0617,0x0616,0x0617,0x0616,0x0617,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
24,0x0638,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x3207,0x0633,0x020E,0x020F,0x020E,0x020F,0x020E,0x020F,0x0635,0x3207,0x3207,0x3207,0x063A,0x020E,0x020F,0x020E,0x020F,0x020E,0x020F,0x020E,0x020F,0x020E,0x020F,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
25,0x0638,0x3207,0x3207,0x3207,0x0604,0x0604,0x0604,0x3207,0x3207,0x3207,0x3207,0x3207,0x0633,0x0616,0x0617,0x0616,0x0617,0x0616,0x0617,0x0635,0x3207,0x3207,0x3207,0x063A,0x0616,0x0617,0x0616,0x0617,0x0616,0x0617,0x0616,0x0617,0x0616,0x0617,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203
