map,Route116_Layout,width,100,height,20,primary,gTileset_General,secondary,gTileset_Rustboro
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,0x3001,0x3001,0x3001,0x3001,0x3001,0x0403,0x05DC,0x05DD,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x300D,0x3001,0x300D,0x3001,0x3001,0x3001,0x0485,0x3001,0x0417,0x3001,0x0417,0x300E,0x3001,0x0417,0x041B,0x3001,0x300E,0x0417,0x3001,0x300E,0x3001,0x3001,0x3206,0x3206,0x3206,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0478,0x0489,0x4071,0x4071,0x4071,0x4071,0x4071,0x0473,0x047B,0x0489,0x0471,0x0475,0x0475,0x0474,0x04A9,0x00A7,0x04A9,0x04A9,0x0489,0x3071,0x3071,0x3071,0x3071,0x049B,0x049C,0x3071,0x3071,0x3071,0x047B,0x047C,0x047C,0x0489,0x0473,0x0471,0x047B,0x0489,0x0471,0x047B,0x0489,0x0471,0x0474,0x047D,0x0475,0x0471,0x0475,0x0471,0x0471,0x0475,0x0471,0x0474
11,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05DC,0x05DD,0x05DC,0x05DD,0x31C6,0x31C7,0x31C6,0x31CF,0x300D,0x3001,0x3001,0x3001,0x3001,0x0485,0x3001,0x3001,0x3001,0x3001,0x0417,0x3001,0x3001,0x3001,0x3001,0x0417,0x3001,0x3001,0x0417,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0478,0x00AF,0x0479,0x0489,0x4071,0x4071,0x0473,0x0471,0x0473,0x0471,0x0475,0x0475,0x0472,0x3001,0x3001,0x3001,0x3001,0x0478,0x0479,0x0479,0x0479,0x30AF,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x05B0,0x0489,0x0473,0x0473,0x0471,0x0471,0x047B,0x0489,0x0471,0x047B,0x047C,0x047D,0x0471,0x0475,0x0471,0x0475,0x0471,0x0471,0x0475,0x0471,0x04A2
12,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x05E6,0x05E5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x041B,0x3001,0x3001,0x3001,0x3001,0x048D,0x0487,0x0487,0x0487,0x0487,0x0487,0x0487,0x0487,0x0487,0x0487,0x0487,0x0487,0x0487,0x0487,0x04D6,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0470,0x4071,0x4071,0x0473,0x0471,0x047B,0x047C,0x047D,0x0475,0x0472,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0470,0x0473,0x0473,0x0471,0x0471,0x0471,0x0473,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475,0x0471,0x0475,0x0471,0x0471,0x0475,0x0471,0x04A2
13,0x31CE,0x31CF,0x3001,0x3001,0x300D,0x3001,0x300D,0x300D,0x05E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05DC,0x05DD,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x3001,0x3001,0x3001,0x3001,0x0470,0x4071,0x4071,0x0473,0x0471,0x0471,0x0471,0x0474,0x047D,0x0472,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0470,0x0473,0x0473,0x0471,0x0471,0x0471,0x0473,0x0471,0x0471,0x0471,0x0474,0x047C,0x047D,0x0471,0x0475,0x0471,0x0471,0x0475,0x0471,0x04A2
14,0x05D6,0x05D7,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x3001,0x300D,0x300D,0x300D,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x3001,0x3001,0x3001,0x3001,0x0470,0x4071,0x4071,0x0473,0x0471,0x0471,0x0474,0x047D,0x0471,0x0472,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x3001,0x3001,0x3001,0x3001,0x3001,0x0468,0x0469,0x0469,0x04BE,0x0473,0x0473,0x0471,0x0471,0x0471,0x047B,0x0489,0x0471,0x0474,0x047D,0x0471,0x0471,0x0471,0x0475,0x0471,0x0471,0x0475,0x0471,0x04A2
15,0x05DC,0x05DD,0x31CE,0x31CF,0x300D,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x05E6,0x05E7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x31CE,0x31CF,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x31CE,0x31CF,0x3001,0x3001,0x0478,0x05B0,0x0489,0x047B,0x047C,0x047C,0x047D,0x0474,0x05F0,0x073C,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x0468,0x0469,0x0469,0x0469,0x0469,0x04BE,0x046B,0x04B6,0x04B6,0x04BE,0x0473,0x0471,0x0471,0x0471,0x0471,0x047B,0x047C,0x047D,0x0471,0x0474,0x047C,0x047C,0x047D,0x0471,0x0471,0x0475,0x0471,0x04A2
16,0x05D4,0x05D5,0x05D4,0x05D7,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x300D,0x3001,0x300D,0x3001,0x3001,0x3001,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x3001,0x3001,0x3001,0x3001,0x0470,0x0471,0x0471,0x0471,0x0471,0x0472,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x0470,0x0471,0x0471,0x046B,0x04B6,0x04B6,0x04BE,0x0471,0x046B,0x04B6,0x04BE,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475,0x0471,0x0471,0x0471,0x0471,0x0471,0x00BF,0x046D,0x04A2
17,0x05DC,0x05DD,0x05DC,0x05DD,0x31C6,0x31C7,0x31C6,0x31C7,0x31C6,0x31C7,0x31CE,0x31C7,0x3001,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x3001,0x300D,0x3001,0x3001,0x300D,0x31C6,0x31C7,0x31C6,0x31CF,0x31CE,0x31C7,0x31C6,0x31C7,0x31CE,0x31CF,0x31CE,0x31CF,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x31CE,0x31CF,0x31CE,0x31CF,0x073B,0x05F1,0x05F0,0x05F1,0x05F0,0x073C,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x0470,0x0471,0x046B,0x04B6,0x0471,0x046B,0x04B6,0x04B6,0x04BE,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x047C,0x047D,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475,0x04A2
18,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x300D,0x3001,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x3001,0x300D,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x0470,0x0471,0x0473,0x046B,0x04B6,0x04BE,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475,0x04A2
19,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31C7,0x300D,0x31C7,0x31C6,0x31C7,0x31C6,0x31C7,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x0478,0x0489,0x0473,0x0473,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047D,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475,0x04A2
