map,AquaHideout_B1F_Layout,width,51,height,24,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10,0x060A,0x3229,0x3228,0x3228,0x3228,0x3202,0x3202,0x3202,0x321D,0x3202,0x3202,0x3228,0x3228,0x3228,0x060A,0x3381,0x3380,0x33E5,0x33FB,0x33FC,0x33E5,0x33FA,0x33E5,0x32DF,0x33E5,0x060A,0x3229,0x3228,0x3228,0x064B,0x064C,0x064D,0x064E,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x0686,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x065E,0x060A
11,0x0609,0x320B,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x0609,0x33EE,0x33ED,0x33ED,0x33ED,0x33ED,0x33ED,0x33ED,0x33ED,0x33ED,0x33ED,0x0609,0x3229,0x3228,0x3228,0x3228,0x0655,0x0656,0x3229,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x0660,0x32AE,0x32A7,0x32A7,0x32A7,0x32A7,0x32A7,0x32A7,0x06A6,0x060A
12,0x0611,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x0610,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x0611,0x3229,0x32DF,0x3228,0x3228,0x3228,0x3228,0x3228,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x0668,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x06AC,0x060A
13,0x060A,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0620,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0609,0x320B,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x0609,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x3229,0x32DF,0x3228,0x3228,0x32DF,0x3228,0x3228,0x32DF,0x3228,0x060A
14,0x060A,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3213,0x3229,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x3203,0x33E0,0x0610,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x0611,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x0686,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x065E,0x060A
15,0x060A,0x3229,0x3228,0x32DF,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x33E9,0x060C,0x060D,0x3202,0x3202,0x3202,0x07F0,0x07F1,0x37E1,0x0620,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x0660,0x32AE,0x32A7,0x32A7,0x32A7,0x32A7,0x32A7,0x32A7,0x06A6,0x060A
16,0x060A,0x0686,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x065E,0x07E8,0x0614,0x0615,0x3202,0x3202,0x321D,0x07F8,0x07F9,0x07E8,0x3344,0x3203,0x3203,0x3203,0x3203,0x3203,0x3229,0x3229,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x0668,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x06AC,0x060A
17,0x060A,0x0660,0x32AE,0x32A7,0x32A7,0x32A7,0x32A7,0x32A7,0x32A7,0x32A7,0x32A7,0x32A7,0x32A7,0x32A7,0x32A7,0x06A6,0x3202,0x3202,0x321D,0x3202,0x3202,0x3202,0x3202,0x321D,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3228,0x3228,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x060A,0x3229,0x32DF,0x3228,0x3228,0x32DF,0x3228,0x3228,0x32DF,0x3228,0x060A
18,0x060A,0x0660,0x32AF,0x314F,0x314F,0x314F,0x314F,0x314F,0x314F,0x314F,0x314F,0x314F,0x314F,0x314F,0x314F,0x06A4,0x3202,0x3241,0x3242,0x3202,0x3202,0x3202,0x3241,0x3242,0x33E9,0x33E9,0x3202,0x3202,0x3202,0x3202,0x3202,0x3228,0x3228,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0609,0x320B,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x0609
19,0x060A,0x0668,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x06AC,0x3202,0x0649,0x064A,0x3202,0x3202,0x3202,0x0649,0x064A,0x07E8,0x07E8,0x3202,0x3202,0x3202,0x3202,0x3202,0x3228,0x32DF,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0610,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x0610
20,0x060A,0x3229,0x322A,0x32DF,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x322A,0x3202,0x321D,0x3202,0x3202,0x3202,0x3202,0x3202,0x321D,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3202,0x3228,0x3228,0x060A,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0620,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0620
21,0x0609,0x320B,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x3259,0x0609,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
22,0x0610,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x06E0,0x0610,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
23,0x0620,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0621,0x0620,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601
