map,PetalburgWoods_Layout,width,48,height,44,primary,gTileset_General,secondary,gTileset_Rustboro
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
10,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x35D6,0x35D5,0x35D4,0x35D5,0x35D4,0x35D7,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x05D4,0x05D5
11,0x05DC,0x05DD,0x05DC,0x05DD,0x300D,0x300D,0x300D,0x300D,0x31C6,0x31C7,0x31CE,0x31CF,0x31CE,0x31CF,0x3001,0x3001,0x3001,0x3001,0x31CE,0x31CF,0x31CE,0x31CF,0x31C6,0x31C7,0x31C6,0x31C7,0x31C6,0x31C7,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x31C6,0x31C7,0x31C6,0x31C7,0x31CE,0x31CF,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x05DC,0x05DD
12,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x300D,0x300D,0x300D,0x35D6,0x35D5,0x35D4,0x35D5,0x35D4,0x35D7,0x3001,0x3001,0x3001,0x3001,0x35D6,0x35D5,0x35D4,0x35D5,0x35D4,0x35D5,0x35D4,0x35D5,0x35D4,0x35D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x35D5,0x35D4,0x35D5,0x35D4,0x35D7,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x05D4,0x05D5
13,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x3001,0x3001,0x05E6,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x31CF,0x3001,0x3001,0x300D,0x300D,0x300D,0x05DC,0x05DD
14,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x04D5,0x0487,0x0487,0x0487,0x04D6,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x35D7,0x3001,0x3001,0x300D,0x300D,0x300D,0x05D4,0x05D5
15,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x3001,0x300D,0x05E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E7,0x3001,0x3001,0x3001,0x3001,0x3001,0x05E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x05F3,0x05F2,0x31CF,0x3001,0x300D,0x300D,0x300D,0x05DC,0x05DD
16,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x35D7,0x3001,0x300D,0x300D,0x300D,0x05D4,0x05D5
17,0x05DC,0x05DD,0x05DC,0x05DD,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x300D,0x300D,0x05DC,0x05DD
18,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x300D,0x05D4,0x05D5
19,0x05DC,0x05DD,0x05DC,0x05DD,0x31CE,0x31C7,0x31C6,0x31C7,0x31C6,0x31C7,0x31CE,0x31CF,0x3001,0x3001,0x3001,0x3001,0x31C6,0x31C7,0x31C6,0x31C7,0x31C6,0x31C7,0x31C6,0x31C7,0x31C6,0x31C7,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD
20,0x05D4,0x05D5,0x05D4,0x05D5,0x35D4,0x35D5,0x35D4,0x35D5,0x35D4,0x35D5,0x35D4,0x35D7,0x3001,0x3001,0x3001,0x3001,0x35D6,0x35D5,0x35D4,0x35D5,0x35D4,0x35D5,0x35D4,0x35D5,0x35D4,0x35D7,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x04D5,0x0487,0x0487,0x04D6,0x05D4,0x05D5
21,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E7,0x3001,0x3001,0x05E6,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD,0x300D,0x3001,0x3001,0x3001,0x05DC,0x05DD
22,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x04D5,0x0487,0x0487,0x04D6,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x3001,0x3001,0x05D4,0x05D5
23,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E7,0x3001,0x3001,0x3001,0x3001,0x05E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05E4,0x05E7,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x05E6,0x05E5,0x05E4,0x05E7,0x300D,0x300D,0x300D,0x3001,0x05DC,0x05DD
24,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x05D4,0x05D5
25,0x05DC,0x05DD,0x05DC,0x05DD,0x05E4,0x05E7,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x300D,0x300D,0x300D,0x3001,0x31CE,0x31CF,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x05DC,0x05DD
26,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x300D,0x35D6,0x35D7,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x05D4,0x05D5
27,0x05DC,0x05DD,0x05DC,0x05DD,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x31C6,0x31C7,0x31C6,0x31C7,0x31CE,0x31CF,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x05DC,0x05DD,0x05DC,0x05DD,0x300D,0x300D,0x300D,0x300D,0x05DC,0x05DD,0x31CE,0x31C7,0x300D,0x300D,0x300D,0x300D,0x31C6,0x31C7,0x05DC,0x05DD
28,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x35D6,0x05D5,0x05D4,0x05D5,0x35D4,0x35D7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x35D6,0x35D5,0x35D4,0x35D5,0x35D4,0x35D5,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x300D,0x05D4,0x05D5,0x05D4,0x35D7,0x300D,0x300D,0x300D,0x300D,0x35D6,0x05D5,0x05D4,0x05D5
29,0x05DC,0x05DD,0x05DC,0x05DD,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x300D,0x300D,0x300D,0x05DC,0x05DD,0x05DC,0x05DD,0x31CE,0x31C7,0x31C6,0x31C7,0x05DC,0x05DD,0x05DC,0x05DD
30,0x05D4,0x05D5,0x05D4,0x05D5,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x04D5,0x0487,0x0487,0x0487,0x0487,0x04D6,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x3001,0x3001,0x300D,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
31,0x05DC,0x05DD,0x05DC,0x05DD,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x05E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05E6,0x05E5,0x05E4,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD
32,0x05D4,0x05D5,0x05D4,0x05D5,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x341B,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x04D5,0x0487,0x0487,0x04D6,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
33,0x05DC,0x05DD,0x05DC,0x05DD,0x31CE,0x31CF,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x05E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E7,0x3001,0x3001,0x3001,0x3001,0x05E6,0x05E5,0x05E4,0x05E5,0x05E4,0x05E5,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD
34,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x35D7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
35,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x31CE,0x31C7,0x31C6,0x31C7,0x31C6,0x31C7,0x31C6,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x31CE,0x31CF,0x3001,0x3001,0x3001,0x300D,0x300D,0x3001,0x300D,0x300D,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD
36,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x35D7,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x35D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x35D7,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
37,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x31C6,0x31C7,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD
38,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x0549,0x0549,0x0204,0x0204,0x0549,0x0549,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x0549,0x0549,0x0204,0x0204,0x0549,0x0549,0x35D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
39,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05CE,0x05CF,0x0605,0x0605,0x05CE,0x05CF,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05CE,0x05CF,0x0605,0x0605,0x05CE,0x05CF,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD
40,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x0605,0x0605,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D7,0x0605,0x0605,0x05D6,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
41,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x0605,0x0605,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x0605,0x0605,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD
42,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x0605,0x0605,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x0605,0x0605,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5,0x05D4,0x05D5
43,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x0605,0x0605,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x0605,0x0605,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD,0x05DC,0x05DD
