map,Route108_Layout,width,60,height,20,primary,gTileset_General,secondary,gTileset_Slateport
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
10,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
11,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
12,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x11AD,0x31AE,0x31AE,0x11AF,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
13,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11AD,0x31AE,0x31AE,0x11AF,0x1170,0x0558,0x0559,0x11AD,0x319B,0x3594,0x319E,0x319C,0x11AF,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
14,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x11AD,0x31AE,0x31AE,0x31AE,0x11AF,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x11BD,0x11A3,0x3594,0x11B7,0x1170,0x1170,0x1170,0x11B5,0x319E,0x3594,0x319E,0x319E,0x11B7,0x1170,0x1170,0x11AD,0x31AE,0x31AE,0x11AF,0x1170,0x1170,0x1170,0x1170,0x1170
15,0x1170,0x0550,0x0551,0x1170,0x1170,0x0550,0x0551,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x1170,0x11AD,0x31AE,0x31AE,0x11AF,0x1170,0x11BD,0x11A3,0x3594,0x319E,0x11B7,0x1170,0x1170,0x0575,0x0576,0x0558,0x0559,0x0575,0x0576,0x0558,0x0559,0x1170,0x1170,0x1170,0x11BD,0x11BE,0x11BF,0x0575,0x0576,0x1170,0x11BD,0x11BE,0x11BE,0x11BE,0x11BE,0x11BF,0x1170,0x0550,0x0563,0x355E,0x355F,0x0562,0x0551,0x1170,0x1170,0x1170,0x1170
16,0x1170,0x0558,0x0559,0x1170,0x1170,0x0558,0x0559,0x057D,0x057E,0x0575,0x0576,0x1170,0x1170,0x0550,0x0563,0x355E,0x355F,0x0562,0x0551,0x1170,0x11BD,0x11BE,0x11BE,0x11BF,0x0550,0x0551,0x057D,0x057E,0x1170,0x1170,0x057D,0x057E,0x1170,0x0575,0x0576,0x1170,0x1170,0x0550,0x0551,0x1170,0x057D,0x057E,0x0550,0x0551,0x1170,0x1170,0x0550,0x0551,0x0575,0x0576,0x0558,0x056B,0x356E,0x356F,0x156A,0x0559,0x1170,0x1170,0x1170,0x1170
17,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x0550,0x0551,0x0558,0x056B,0x356E,0x356F,0x156A,0x0559,0x1170,0x0550,0x0551,0x0575,0x0576,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x0550,0x0551,0x0558,0x0559,0x0575,0x0576,0x1170,0x0558,0x0559,0x0550,0x0551,0x0558,0x0559,0x057D,0x057E,0x1170,0x11BD,0x11BE,0x11BE,0x11BF,0x1170,0x0550,0x0551,0x0550,0x0551
18,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170,0x11BD,0x11BE,0x11BE,0x11BF,0x0550,0x0551,0x0558,0x0559,0x057D,0x057E,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x057D,0x057E,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x0558,0x0559,0x0558,0x0559
19,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
