map,MtPyre_Exterior_Layout,width,38,height,51,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
16,0x0473,0x047B,0x0489,0x047B,0x0489,0x0473,0x0473,0x3001,0x0478,0x047A,0x0478,0x047C,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x30AF,0x30CF,0x0489,0x0468,0x0469,0x0469,0x046A,0x3001,0x3001,0x3001,0x0472,0x3001,0x0470,0x0472,0x0472,0x0471,0x0471,0x0475,0x0475
17,0x0473,0x0471,0x0473,0x0471,0x0473,0x0473,0x0473,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x31E0,0x31E2,0x0470,0x0478,0x0479,0x0479,0x047A,0x3001,0x3001,0x3001,0x0472,0x0724,0x0478,0x047A,0x0472,0x0471,0x0471,0x0475,0x0475
18,0x0473,0x0471,0x0473,0x0471,0x0473,0x0473,0x047B,0x0489,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0478,0x0479,0x0479,0x0479,0x0479,0x30AF,0x30CF,0x0479,0x047A,0x3001,0x0724,0x0474,0x047D,0x0471,0x0471,0x0475,0x0475
19,0x0473,0x0471,0x0473,0x0471,0x0473,0x047B,0x0489,0x0473,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0474,0x047D,0x0471,0x0471,0x0474,0x047D,0x0475
20,0x0473,0x0471,0x0473,0x0471,0x0473,0x0471,0x0473,0x047B,0x0489,0x3001,0x300D,0x300D,0x0468,0x0469,0x0469,0x0469,0x0469,0x0469,0x046A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0474,0x047C,0x047C,0x047D,0x0474,0x047C,0x047C,0x047D,0x0474,0x047D
21,0x0473,0x0471,0x0473,0x0471,0x0473,0x0471,0x047B,0x0489,0x0473,0x300D,0x300D,0x300D,0x0478,0x0479,0x0479,0x0479,0x0479,0x0489,0x0472,0x3001,0x0474,0x047C,0x047C,0x047C,0x30AF,0x30CF,0x30CF,0x047C,0x047D,0x0474,0x04A9,0x04A9,0x047D,0x0474,0x047C,0x047C,0x047D,0x0471
22,0x047B,0x0489,0x047B,0x0489,0x047B,0x0489,0x0471,0x0473,0x047B,0x04A9,0x0489,0x300D,0x300D,0x300D,0x300D,0x3001,0x0724,0x0470,0x0472,0x0474,0x047D,0x0474,0x04A9,0x04A9,0x30AF,0x30CF,0x30CF,0x04A9,0x04A9,0x047D,0x0474,0x0491,0x04A9,0x047D,0x0474,0x04A9,0x04A9,0x04A9
23,0x0489,0x047B,0x0489,0x047B,0x0489,0x0473,0x0471,0x047B,0x04A9,0x0489,0x047B,0x047C,0x047C,0x047C,0x0489,0x3001,0x3001,0x0478,0x047A,0x0475,0x0471,0x0475,0x0474,0x0491,0x30AF,0x30CF,0x30CF,0x0491,0x0491,0x0491,0x047D,0x3001,0x0474,0x0491,0x047D,0x0471,0x0471,0x0471
24,0x0473,0x0471,0x0473,0x0471,0x0473,0x047B,0x047C,0x0479,0x0489,0x047B,0x04A9,0x04A9,0x04A9,0x0489,0x047B,0x047C,0x047C,0x047C,0x047C,0x047D,0x0474,0x047D,0x0472,0x31E0,0x31D9,0x31D9,0x31D9,0x31E2,0x3001,0x3001,0x3001,0x0474,0x047D,0x0471,0x0471,0x0471,0x0471,0x0471
25,0x0473,0x0471,0x0473,0x0471,0x047B,0x04A9,0x0489,0x3004,0x0478,0x0491,0x0491,0x0491,0x0489,0x047B,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x047D,0x0474,0x047A,0x3001,0x31E0,0x31E1,0x31E2,0x3001,0x0468,0x046A,0x0474,0x047D,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471
26,0x0473,0x0471,0x0473,0x0471,0x0471,0x0471,0x0473,0x3001,0x3004,0x3001,0x3001,0x3004,0x0478,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x047A,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x048B,0x048C,0x0475,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471
27,0x0473,0x0471,0x0473,0x0471,0x0471,0x0471,0x0473,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3004,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0474,0x047C,0x047D,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471
28,0x0473,0x0471,0x0473,0x0471,0x0471,0x0471,0x047B,0x0489,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0474,0x047C,0x047C,0x047D,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474
29,0x0473,0x0471,0x047B,0x0489,0x0471,0x0471,0x0471,0x047B,0x047C,0x30AF,0x30CF,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x0489,0x3001,0x3001,0x3001,0x0474,0x047D,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475
30,0x047B,0x0489,0x0471,0x047B,0x047C,0x047C,0x047C,0x04A9,0x04A9,0x30AF,0x30CF,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x047B,0x047C,0x047C,0x047C,0x047D,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x047C,0x047C,0x047D
31,0x0489,0x047B,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x30AF,0x30CF,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x0471,0x047B,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047D,0x0474,0x047C,0x04A9
32,0x047B,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x30AF,0x30CF,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x0471,0x047B,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x047D,0x0471,0x0471
33,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x30AF,0x30CF,0x0491,0x0489,0x0471,0x0471,0x047B,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471
34,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x31E0,0x31D9,0x31D9,0x31E2,0x0478,0x047C,0x047C,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0489,0x0471,0x0471,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C
35,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x0473,0x3001,0x31E0,0x31E2,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x048B,0x047C,0x047C,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9
36,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x0473,0x047B,0x047C,0x0489,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0474,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9
37,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x0473,0x047B,0x04A9,0x0489,0x047B,0x047C,0x047C,0x047C,0x0489,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x0475,0x0474,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9
38,0x04A9,0x04A9,0x04A9,0x0489,0x0473,0x047B,0x0489,0x0471,0x047B,0x0489,0x3071,0x3071,0x3071,0x047B,0x30AF,0x30CF,0x0489,0x300D,0x300D,0x300D,0x300D,0x0474,0x047C,0x047C,0x047C,0x047C,0x047C,0x30AF,0x30CF,0x30CF,0x04A9,0x047D,0x0475,0x0471,0x0474,0x04A9,0x04A9,0x04A9
39,0x04A9,0x0489,0x0471,0x0473,0x0473,0x0471,0x0473,0x0471,0x0471,0x0473,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x047B,0x047C,0x047C,0x047C,0x047C,0x047D,0x0471,0x0474,0x047C,0x04A9,0x04A9,0x30AF,0x30CF,0x30CF,0x04A9,0x04A9,0x047D,0x0474,0x047D,0x0474,0x04A9,0x04A9
40,0x0489,0x047B,0x0489,0x0473,0x0473,0x0471,0x047B,0x0489,0x0471,0x047B,0x047C,0x047C,0x047C,0x047C,0x0489,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x0474,0x047D,0x0474,0x047C,0x04A9,0x30AF,0x30CF,0x30CF,0x04A9,0x04A9,0x04A9,0x047D,0x0474,0x047D,0x0474,0x04A9
41,0x0473,0x0471,0x0473,0x0473,0x0473,0x0471,0x0471,0x047B,0x047C,0x04A9,0x049F,0x04A9,0x04A9,0x0489,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047D,0x0474,0x047D,0x0474,0x0491,0x30AF,0x30CF,0x30CF,0x0491,0x04A9,0x04A9,0x04A9,0x047D,0x0474,0x047D,0x0471
42,0x0473,0x0471,0x0473,0x0473,0x0473,0x0471,0x0471,0x0474,0x04A9,0x0491,0x30A7,0x0491,0x0489,0x047B,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x047D,0x0474,0x047A,0x31E0,0x31D9,0x31D9,0x31E2,0x3001,0x0474,0x047C,0x047C,0x047C,0x047D,0x0471,0x0471
43,0x0473,0x0471,0x0473,0x0473,0x047B,0x047C,0x047C,0x047A,0x3001,0x31D8,0x31D9,0x31E2,0x0478,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x0491,0x047A,0x300D,0x3001,0x31E0,0x31E2,0x3001,0x3001,0x0475,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471
44,0x0473,0x0471,0x0473,0x047B,0x047C,0x047C,0x0489,0x3001,0x3001,0x31E0,0x31E2,0x3001,0x3001,0x3004,0x3001,0x3001,0x3004,0x3004,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x3001,0x3001,0x0474,0x047D,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471
45,0x0473,0x0471,0x0473,0x0471,0x0471,0x0471,0x047B,0x0489,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x300D,0x3001,0x0474,0x047D,0x0471,0x0471,0x0471,0x0471,0x0474,0x047C,0x047C
46,0x0473,0x0471,0x047B,0x0489,0x0471,0x0471,0x0471,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047D,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475,0x0471,0x0471
47,0x047B,0x0489,0x0471,0x047B,0x047C,0x047C,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x047C,0x047D,0x0471,0x0471
48,0x0471,0x047B,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x0471,0x0471,0x0471,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x047D,0x0471,0x0474,0x047C,0x047C
49,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x0471,0x047B,0x047C,0x047C,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x047C,0x047D,0x0474,0x04A9
50,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x0489,0x047B,0x047C,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x04A9,0x047D,0x0474
