map,UnknownMap_083041B4_Layout,width,27,height,46,primary,gTileset_General,secondary,gTileset_Cave
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
10,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F2,0x06F1,0x06F1,0x06F2,0x06F2,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x06F0,0x06F8,0x06EC,0x06F1,0x06F0,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
11,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F2,0x06F1,0x06EB,0x06FA,0x06F2,0x06EB,0x06F9,0x3204,0x06F9,0x06EC,0x06F0,0x06F1,0x06F0,0x06F1,0x06F0,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
12,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F2,0x06F1,0x06F2,0x06EB,0x06FA,0x06F2,0x32F5,0x32F5,0x32F5,0x06F0,0x06F0,0x06F1,0x06F0,0x06F1,0x06F8,0x06EC,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
13,0x06F1,0x06F1,0x06F1,0x06F1,0x06EB,0x06FA,0x06F1,0x06F2,0x06F2,0x06EB,0x06FA,0x32F5,0x32F5,0x32F5,0x06F0,0x06F8,0x06EC,0x06F8,0x06EC,0x06F1,0x06F0,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
14,0x06F1,0x06F1,0x06F1,0x06F1,0x06F2,0x06F1,0x06F1,0x06F2,0x06F2,0x06F2,0x32F5,0x32F5,0x32F5,0x32F5,0x06F8,0x06EC,0x06F0,0x06F1,0x06F0,0x06F1,0x06F8,0x06EC,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
15,0x06F1,0x06EB,0x06F9,0x06F9,0x06FA,0x06F1,0x06EB,0x06FA,0x06F2,0x06F2,0x32F5,0x32F5,0x32F5,0x32F5,0x32F5,0x06F0,0x06F0,0x06F1,0x06F0,0x06F1,0x06F1,0x06F0,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
16,0x06F1,0x06F2,0x06F1,0x06F1,0x06F1,0x06F1,0x06F2,0x06EB,0x06FA,0x06F2,0x061B,0x0619,0x3204,0x0619,0x061C,0x06F0,0x06F8,0x06EC,0x06F0,0x06F1,0x06F1,0x06F0,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
17,0x06F9,0x06FA,0x06F1,0x06EB,0x06F9,0x06F9,0x06FA,0x06F2,0x06EB,0x06FA,0x0612,0x3211,0x3211,0x3211,0x0610,0x06F8,0x06EC,0x06F0,0x06F0,0x06F1,0x06F1,0x06F0,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
18,0x06F1,0x06F1,0x06F1,0x06F2,0x06F1,0x06F1,0x06F1,0x06F2,0x06F2,0x061B,0x061A,0x3211,0x3211,0x3211,0x0618,0x061C,0x06F0,0x06F0,0x06F0,0x06F1,0x06F1,0x06F0,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
19,0x06EB,0x06F9,0x06F9,0x06FA,0x06F1,0x06EB,0x06F9,0x06FA,0x06F2,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610,0x06F0,0x06F0,0x06F0,0x06F1,0x06F1,0x06F0,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
20,0x06F2,0x06F1,0x06F1,0x06F1,0x06F1,0x06F2,0x06F1,0x06F1,0x06F2,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610,0x06F0,0x06F0,0x06F8,0x06F9,0x06EC,0x06F8,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9
21,0x06F2,0x06F1,0x06F1,0x06EB,0x06F9,0x06FA,0x06F1,0x06F1,0x06F2,0x0612,0x061B,0x0619,0x3204,0x0619,0x061C,0x0610,0x06F0,0x06F0,0x06F1,0x06F1,0x06F0,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
22,0x06F2,0x06F1,0x06EB,0x06FA,0x06F1,0x06F1,0x06EB,0x06F9,0x06FA,0x0612,0x0612,0x3211,0x3211,0x3211,0x0610,0x0610,0x06F0,0x06F8,0x06F9,0x06EC,0x06F8,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06EC
23,0x06FA,0x06F1,0x06F2,0x06F1,0x06F1,0x06EB,0x06FA,0x0611,0x0611,0x0612,0x0612,0x3211,0x3211,0x3211,0x0610,0x0610,0x06F8,0x06F9,0x06EC,0x06F8,0x06F9,0x06F9,0x06F9,0x06F9,0x06F9,0x06EC,0x06F0
24,0x06F9,0x06F9,0x06FA,0x06F1,0x06F1,0x06F2,0x061B,0x060D,0x060D,0x061A,0x0612,0x3211,0x3211,0x3211,0x0610,0x0618,0x061C,0x061C,0x06F8,0x06F9,0x06F9,0x06F9,0x06F9,0x06EC,0x06F1,0x06F0,0x06F0
25,0x06F1,0x06EB,0x06F9,0x06F9,0x06F9,0x06FA,0x0612,0x0611,0x061B,0x060D,0x061A,0x3211,0x3211,0x3211,0x0618,0x060D,0x061C,0x0618,0x060D,0x060D,0x061C,0x0611,0x0611,0x06F0,0x06F1,0x06F0,0x06F8
26,0x06F1,0x06F2,0x0611,0x0611,0x061B,0x060D,0x061A,0x061B,0x061A,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0618,0x060D,0x061C,0x0611,0x0618,0x061C,0x0611,0x06F0,0x06F1,0x06F8,0x06F9
27,0x06F1,0x06F2,0x0611,0x0611,0x0612,0x0611,0x061B,0x061A,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610,0x0611,0x0611,0x0610,0x0611,0x06F0,0x06F1,0x06F1,0x06F1
28,0x06EB,0x06FA,0x061B,0x060D,0x061A,0x0611,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0620,0x0609,0x0609,0x0609,0x0623,0x0611,0x0611,0x0618,0x061C,0x06F8,0x06F9,0x06F9,0x06EC
29,0x06F2,0x0611,0x0612,0x0611,0x061B,0x060D,0x061A,0x3211,0x3211,0x3211,0x0620,0x0609,0x0609,0x0609,0x0623,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0610,0x0611,0x0611,0x0611,0x06F0
30,0x06F2,0x0611,0x0612,0x0611,0x0612,0x3211,0x3211,0x3211,0x3211,0x0620,0x0623,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0611,0x0618,0x060D,0x060D,0x061C,0x06F0
31,0x06F2,0x0611,0x0612,0x061B,0x061A,0x3211,0x3211,0x3211,0x3211,0x0610,0x0611,0x0611,0x0611,0x0611,0x061B,0x060D,0x060D,0x060D,0x060D,0x060D,0x061C,0x0611,0x0611,0x0611,0x0611,0x0610,0x06F0
32,0x06F2,0x0611,0x0612,0x0612,0x3211,0x3211,0x3211,0x3211,0x0620,0x0623,0x0611,0x0611,0x0611,0x061B,0x061A,0x061B,0x060D,0x060D,0x060D,0x061C,0x0618,0x060D,0x061C,0x0611,0x0611,0x0610,0x06F0
33,0x06F2,0x061B,0x061A,0x0612,0x3211,0x3211,0x3211,0x3211,0x0610,0x0611,0x0611,0x061B,0x060D,0x061A,0x061B,0x061A,0x1765,0x1766,0x1767,0x0618,0x060D,0x061C,0x0618,0x060D,0x061C,0x0610,0x06F0
34,0x06F2,0x0612,0x0611,0x0612,0x3211,0x3211,0x3211,0x0620,0x0623,0x0611,0x0611,0x0612,0x061B,0x060D,0x061A,0x1765,0x1773,0x1764,0x1772,0x1766,0x1767,0x0618,0x060D,0x061C,0x0610,0x0610,0x06F0
35,0x06F2,0x0612,0x0611,0x0612,0x3211,0x3211,0x3211,0x0610,0x0611,0x0611,0x0611,0x0612,0x0612,0x1765,0x1766,0x1773,0x1764,0x175F,0x1764,0x1764,0x1772,0x1766,0x1767,0x0610,0x0610,0x0610,0x06F0
36,0x06F2,0x0612,0x0611,0x0612,0x3211,0x3211,0x3211,0x0610,0x0611,0x0611,0x061B,0x061A,0x0612,0x1771,0x1764,0x1764,0x175F,0x1764,0x175F,0x175F,0x1764,0x1764,0x1770,0x0610,0x0610,0x0610,0x06F0
37,0x06F2,0x0612,0x061B,0x061A,0x3211,0x3211,0x3211,0x0618,0x061C,0x0611,0x0612,0x061B,0x061A,0x1771,0x1764,0x175F,0x175F,0x175F,0x175F,0x175F,0x175F,0x1764,0x1770,0x0610,0x0610,0x0610,0x06F0
38,0x06F2,0x0612,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x0610,0x0611,0x0612,0x0612,0x1765,0x1773,0x175F,0x1764,0x175F,0x175F,0x175F,0x175F,0x1764,0x175F,0x1770,0x0610,0x0610,0x0610,0x06F0
39,0x06F2,0x0612,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x0618,0x060D,0x061A,0x0612,0x1771,0x1764,0x1764,0x175F,0x175F,0x175F,0x175F,0x175F,0x175F,0x1764,0x1770,0x0610,0x0610,0x0610,0x06F0
40,0x06F2,0x0612,0x0612,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3223,0x3223,0x0762,0x1764,0x1764,0x175F,0x1764,0x175F,0x1764,0x175F,0x1764,0x1770,0x0610,0x0610,0x0610,0x06F0
41,0x06F3,0x06F3,0x06F3,0x0715,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3223,0x0762,0x175F,0x1764,0x175F,0x1764,0x175F,0x0760,0x3361,0x3361,0x3223,0x0610,0x0610,0x06F0
42,0x06F1,0x06F1,0x06F1,0x06F3,0x06E9,0x0715,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3223,0x3361,0x3361,0x3361,0x3361,0x3361,0x3223,0x3211,0x3211,0x3211,0x0610,0x0610,0x06F0
43,0x06F1,0x06F1,0x06F1,0x0611,0x0611,0x06F3,0x06E9,0x06E9,0x06E9,0x0715,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0714,0x06F4,0x06F4,0x06F4
44,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F3,0x06E9,0x06E9,0x06E9,0x0715,0x3211,0x3211,0x3211,0x3211,0x3211,0x3211,0x0714,0x06E9,0x06E9,0x06F4,0x06F1,0x06F1,0x06F1
45,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F3,0x06E9,0x06E9,0x06E9,0x06E9,0x06E9,0x06E9,0x06F3,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1,0x06F1
