map,PetalburgCity_Gym_Layout,width,9,height,112,primary,gTileset_Building,secondary,gTileset_PetalburgGym
71,0x3209,0x3259,0x325A,0x325B,0x325C,0x325D,0x325E,0x325F,0x3201
72,0x3209,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201
73,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
74,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
75,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
76,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
77,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
78,0x0602,0x0618,0x0603,0x061D,0x061E,0x061F,0x0603,0x0618,0x0604
79,0x060A,0x0620,0x060B,0x060B,0x060B,0x060B,0x060B,0x0620,0x060C
80,0x3212,0x3213,0x3213,0x3213,0x3213,0x3213,0x3213,0x3213,0x3214
81,0x3209,0x3241,0x3242,0x3243,0x3244,0x3245,0x3246,0x3247,0x3201
82,0x3209,0x3249,0x324A,0x324B,0x324C,0x324D,0x324E,0x324F,0x3201
83,0x3209,0x3251,0x3252,0x3253,0x3254,0x3255,0x3256,0x3257,0x3201
84,0x3209,0x3259,0x325A,0x325B,0x325C,0x325D,0x325E,0x325F,0x3201
85,0x3209,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201
86,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
87,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
88,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
89,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
90,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
91,0x0602,0x0618,0x0603,0x061D,0x061E,0x061F,0x0603,0x0618,0x0604
92,0x060A,0x0620,0x060B,0x060B,0x060B,0x060B,0x060B,0x0620,0x060C
93,0x3212,0x3213,0x3213,0x3213,0x3213,0x3213,0x3213,0x3213,0x3214
94,0x3209,0x3241,0x3242,0x3243,0x3244,0x3245,0x3246,0x3247,0x3201
95,0x3209,0x3249,0x324A,0x324B,0x324C,0x324D,0x324E,0x324F,0x3201
96,0x3209,0x3251,0x3252,0x3253,0x3254,0x3255,0x3256,0x3257,0x3201
97,0x3209,0x3259,0x325A,0x325B,0x325C,0x325D,0x325E,0x325F,0x3201
98,0x3209,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201
99,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
100,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
101,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
102,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
103,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608,0x0608
104,0x0602,0x0618,0x0603,0x061D,0x061E,0x061F,0x0603,0x0618,0x0604
105,0x060A,0x0620,0x060B,0x060B,0x060B,0x060B,0x060B,0x0620,0x060C
106,0x3212,0x3213,0x3213,0x3213,0x3213,0x3213,0x3213,0x3213,0x3214
107,0x3209,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201
108,0x3209,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201
109,0x3209,0x3240,0x3201,0x3201,0x3201,0x3201,0x3201,0x3240,0x3201
110,0x3209,0x3648,0x322B,0x3201,0x3201,0x3201,0x3201,0x3648,0x322B
111,0x3209,0x3213,0x3233,0x3201,0x3210,0x3211,0x3201,0x3213,0x3233
