map,MagmaHideout_1F_Layout,width,28,height,30,primary,gTileset_General,secondary,gTileset_Facility
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
16,0x0601,0x060A,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x077A,0x30AF,0x30CF,0x0778,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x0779,0x060A,0x0601
17,0x0601,0x060A,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x3229,0x060A,0x0601
18,0x0601,0x060A,0x3229,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x3228,0x060A,0x0601
19,0x0601,0x060A,0x328A,0x3283,0x3228,0x065D,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0666,0x3228,0x3228,0x0665,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x065E,0x3299,0x3282,0x3283,0x060A,0x0601
20,0x0601,0x060A,0x0688,0x0689,0x3228,0x0660,0x0474,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x30AF,0x30CF,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C,0x0489,0x06A4,0x32A1,0x0688,0x0689,0x060A,0x0601
21,0x0601,0x060A,0x0690,0x0691,0x3228,0x0660,0x0475,0x346B,0x306C,0x306C,0x306C,0x0494,0x3071,0x3071,0x3071,0x3071,0x0493,0x006C,0x306C,0x306C,0x346D,0x0473,0x06A4,0x32A1,0x0690,0x0691,0x060A,0x0601
22,0x0601,0x060A,0x3229,0x322A,0x3228,0x0660,0x0475,0x3473,0x3474,0x347C,0x347C,0x049C,0x3071,0x3071,0x3071,0x3071,0x049B,0x047C,0x347C,0x3489,0x3475,0x0473,0x06A4,0x32A1,0x322A,0x322A,0x060A,0x0601
23,0x0601,0x060A,0x328A,0x3283,0x3228,0x0660,0x0475,0x3473,0x3475,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3473,0x3475,0x0473,0x06A4,0x32A1,0x3282,0x3283,0x060A,0x0601
24,0x0601,0x060A,0x0688,0x0689,0x32A1,0x0660,0x0475,0x3473,0x3475,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x0473,0x0475,0x0473,0x06A4,0x32A1,0x0688,0x0689,0x060A,0x0601
25,0x0601,0x060A,0x0690,0x0691,0x32A1,0x0660,0x0475,0x049B,0x049C,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x3071,0x049B,0x049C,0x0473,0x06A4,0x32A1,0x0690,0x0691,0x060A,0x0601
26,0x0601,0x060A,0x3229,0x322A,0x32A9,0x0668,0x0669,0x0669,0x0669,0x0669,0x0666,0x046D,0x1180,0x1189,0x1181,0x046B,0x0665,0x0669,0x0669,0x0669,0x0669,0x0669,0x066A,0x32A1,0x322A,0x322A,0x060A,0x0601
27,0x0601,0x060A,0x066D,0x066D,0x066D,0x04BE,0x04BE,0x04BE,0x04BE,0x04BE,0x066F,0x0475,0x1190,0x1267,0x1192,0x0473,0x066E,0x04BE,0x04BE,0x04BE,0x04BE,0x04BE,0x04BE,0x04BE,0x066D,0x066D,0x060A,0x0601
28,0x0601,0x060A,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0475,0x04BF,0x06C8,0x06C9,0x06CA,0x04BE,0x0473,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x060A,0x0601
29,0x0601,0x04BF,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x04BF,0x046C,0x046C,0x046C,0x046C,0x046C,0x04BE,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x04BE,0x0601
