map,Route107_Layout,width,60,height,20,primary,gTileset_General,secondary,gTileset_Dewford
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
10,0x311C,0x311C,0x311C,0x311C,0x311C,0x111D,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
11,0x3124,0x3124,0x3124,0x3124,0x3124,0x1125,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
12,0x3124,0x3124,0x3124,0x3124,0x3124,0x313E,0x111D,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
13,0x3124,0x3239,0x3239,0x3239,0x3124,0x3239,0x313E,0x111D,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170,0x057D,0x057E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1572,0x057B,0x057B,0x1574,0x057D,0x057E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
14,0x3239,0x0643,0x0643,0x063A,0x3239,0x063A,0x3239,0x0554,0x0551,0x1572,0x057B,0x057B,0x1574,0x1170,0x1170,0x057D,0x057E,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1572,0x057B,0x1574,0x057D,0x057E,0x0575,0x0576,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x057D,0x057E,0x057A,0x0071,0x0071,0x057C,0x1170,0x0550,0x0551,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170
15,0x0643,0x0643,0x063A,0x3239,0x0643,0x3239,0x0643,0x055C,0x0559,0x0582,0x0479,0x0489,0x057C,0x0550,0x0551,0x1170,0x1170,0x0558,0x0559,0x0575,0x0576,0x0550,0x0551,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x057A,0x0071,0x04B4,0x1574,0x1170,0x057D,0x057E,0x1170,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x1170,0x1170,0x0582,0x0479,0x0479,0x0584,0x1170,0x0558,0x0559,0x057D,0x057E,0x0550,0x0551,0x1170,0x1170
16,0x063A,0x0643,0x3239,0x0643,0x0643,0x0643,0x063A,0x1125,0x1170,0x1170,0x1170,0x057D,0x1584,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x0558,0x0559,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x0582,0x0489,0x0071,0x057C,0x1170,0x1170,0x1170,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170,0x0575,0x0576,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0550,0x0551,0x1170,0x1170,0x1170,0x0558,0x0559,0x0550,0x0551
17,0x3239,0x0643,0x063A,0x0643,0x0643,0x063A,0x3239,0x1125,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x0550,0x0551,0x0575,0x0576,0x1170,0x0582,0x0489,0x057C,0x1170,0x1170,0x1170,0x1170,0x1170,0x057D,0x057E,0x0550,0x0551,0x057D,0x057E,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559
18,0x0643,0x0643,0x3239,0x0643,0x0643,0x3239,0x0643,0x313E,0x111D,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x057D,0x057E,0x1170,0x1170,0x057D,0x1584,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x0558,0x0559,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
19,0x0643,0x0643,0x0643,0x0643,0x0643,0x0643,0x0643,0x0239,0x1125,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170
