map,MeteorFalls_B1F_1R_Layout,width,29,height,38,primary,gTileset_General,secondary,gTileset_MeteorFalls
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
16,0x0634,0x062A,0x0612,0x4201,0x4201,0x4201,0x0612,0x3201,0x3201,0x3201,0x1180,0x1198,0x1170,0x1192,0x0628,0x423C,0x4201,0x4201,0x4201,0x4201,0x062A,0x1190,0x1170,0x1170,0x1192,0x0610,0x0610,0x0628,0x063C
17,0x0634,0x062A,0x0612,0x4201,0x4201,0x4201,0x0612,0x3201,0x3201,0x3201,0x1190,0x1170,0x1170,0x1192,0x0628,0x423C,0x4201,0x4201,0x4201,0x4201,0x062A,0x1190,0x1170,0x1170,0x1192,0x0610,0x0610,0x0628,0x063C
18,0x0634,0x062A,0x0612,0x4201,0x4201,0x4201,0x0612,0x3201,0x3201,0x3201,0x1190,0x1170,0x1170,0x1192,0x0628,0x423C,0x4201,0x4201,0x4201,0x060E,0x062A,0x1190,0x1170,0x1170,0x1192,0x0610,0x0610,0x0628,0x063C
19,0x0634,0x062A,0x0612,0x4201,0x4201,0x4201,0x4286,0x4286,0x4286,0x426B,0x427A,0x4271,0x4271,0x427A,0x426B,0x4201,0x4201,0x4201,0x0613,0x0631,0x0632,0x1190,0x1170,0x1170,0x1192,0x0610,0x0610,0x0628,0x063C
20,0x0634,0x062A,0x0612,0x4201,0x4201,0x4201,0x4201,0x4201,0x4201,0x4201,0x4201,0x4201,0x4201,0x4201,0x4201,0x4201,0x4201,0x4201,0x062A,0x1180,0x1189,0x1198,0x1170,0x1170,0x1192,0x0610,0x0610,0x0628,0x063C
21,0x0634,0x062A,0x5236,0x5286,0x5286,0x5286,0x5286,0x5286,0x5286,0x5287,0x060A,0x4201,0x4201,0x4201,0x4201,0x4201,0x423E,0x4201,0x062A,0x1190,0x1170,0x1170,0x1170,0x1170,0x1192,0x0610,0x0610,0x0628,0x063C
22,0x0634,0x062A,0x5201,0x0603,0x5201,0x5201,0x5201,0x5201,0x5201,0x5234,0x0612,0x4201,0x4201,0x4201,0x4201,0x4201,0x0613,0x0631,0x0632,0x1190,0x1170,0x1170,0x1170,0x1170,0x1192,0x0610,0x0610,0x0628,0x063C
23,0x0634,0x0612,0x5201,0x520C,0x5201,0x5201,0x5201,0x5201,0x523E,0x523F,0x0612,0x4201,0x4201,0x4201,0x4201,0x4201,0x062A,0x1180,0x1189,0x1198,0x1170,0x1170,0x1170,0x1170,0x1192,0x0610,0x0610,0x0628,0x063C
24,0x0634,0x0612,0x060F,0x5201,0x5201,0x5201,0x5234,0x0613,0x0202,0x0619,0x061A,0x4201,0x4201,0x4201,0x4201,0x4201,0x062A,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0610,0x0610,0x0628,0x063C
25,0x0634,0x0612,0x5201,0x5201,0x5201,0x5201,0x5234,0x0612,0x4201,0x4201,0x4201,0x4201,0x4201,0x4201,0x4201,0x060E,0x062A,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0610,0x0610,0x0628,0x063C
26,0x0634,0x0612,0x5201,0x5201,0x5201,0x5201,0x5234,0x0612,0x4201,0x4201,0x4201,0x4201,0x4201,0x4201,0x4201,0x0613,0x0632,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x061B,0x0678,0x066B,0x0610,0x0628,0x063C
27,0x0601,0x0636,0x0686,0x0686,0x0686,0x0686,0x0686,0x0686,0x0686,0x0686,0x0686,0x0686,0x0687,0x060A,0x4201,0x062A,0x1180,0x1198,0x1170,0x1170,0x1170,0x1170,0x1178,0x0628,0x063C,0x0601,0x0610,0x0628,0x063C
28,0x5201,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0634,0x0612,0x060A,0x062A,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0628,0x063C,0x0601,0x0610,0x0628,0x063C
29,0x5201,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0634,0x0612,0x0612,0x062A,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0628,0x063C,0x0608,0x0685,0x0628,0x063C
30,0x5201,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0634,0x0612,0x0612,0x062A,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0628,0x063C,0x0610,0x0608,0x0685,0x0601
31,0x5201,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0634,0x0612,0x0612,0x062A,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0628,0x063C,0x0610,0x0610,0x063C,0x0601
32,0x5201,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0634,0x0612,0x0612,0x062A,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0628,0x063C,0x0610,0x0610,0x063C,0x0601
33,0x5201,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0634,0x0612,0x0612,0x062A,0x1190,0x1170,0x1170,0x1170,0x1170,0x1170,0x1192,0x0628,0x063C,0x0610,0x0610,0x063C,0x0601
34,0x5201,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0634,0x0612,0x0612,0x062A,0x321E,0x321E,0x321E,0x321E,0x321E,0x321E,0x321E,0x0610,0x063C,0x0610,0x0610,0x063C,0x0601
35,0x5201,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0634,0x0612,0x0612,0x062A,0x060F,0x3201,0x3201,0x3201,0x3201,0x3201,0x3201,0x0610,0x063C,0x0610,0x0610,0x063C,0x0601
36,0x5201,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0634,0x0612,0x0612,0x062A,0x3201,0x060F,0x3201,0x3201,0x3207,0x3201,0x3201,0x0610,0x063C,0x0610,0x0610,0x063C,0x0601
37,0x5201,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0601,0x0686,0x0636,0x0636,0x0686,0x0686,0x0686,0x067D,0x067E,0x067F,0x0686,0x0686,0x0686,0x0686,0x0686,0x0601,0x0601
