map,LilycoveCity_ContestHall_Layout,width,51,height,33,primary,gTileset_Building,secondary,gTileset_Contest
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
10,0x3228,0x3260,0x324A,0x3260,0x3260,0x324A,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3248,0x3260,0x3248,0x3260,0x3260,0x3260,0x0624,0x3225,0x3225,0x0670,0x3271,0x3271,0x3271,0x3271,0x3271,0x326F,0x3271,0x0672,0x3225,0x3225,0x0626,0x3266,0x3260,0x3260,0x3249,0x3260,0x3249,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x324A,0x3260,0x3260,0x324A,0x3260,0x322A
11,0x3228,0x3260,0x0652,0x3260,0x3260,0x0652,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3250,0x3260,0x3250,0x3260,0x3260,0x3260,0x0624,0x3225,0x3225,0x0670,0x3271,0x3271,0x3271,0x3291,0x0271,0x4277,0x0271,0x0672,0x3225,0x3225,0x0626,0x3266,0x3260,0x3260,0x3251,0x3260,0x3251,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x0652,0x3260,0x3260,0x0652,0x3260,0x322A
12,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3258,0x3260,0x3258,0x3260,0x3260,0x3260,0x0624,0x3225,0x3225,0x0670,0x3271,0x3271,0x3271,0x3299,0x3271,0x0271,0x3271,0x0672,0x3225,0x3225,0x0626,0x3266,0x3260,0x3260,0x3259,0x3260,0x3259,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x322A
13,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x0624,0x3225,0x3225,0x0670,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x0672,0x3225,0x3225,0x0626,0x3266,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x322A
14,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3248,0x3260,0x3248,0x3260,0x3260,0x3260,0x0624,0x3225,0x3225,0x0678,0x0679,0x0679,0x327B,0x327C,0x327D,0x0679,0x0679,0x067A,0x3225,0x3225,0x0626,0x3266,0x3260,0x3260,0x3249,0x3260,0x3249,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x322A
15,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3250,0x3260,0x3250,0x3260,0x3260,0x3260,0x0614,0x3215,0x3215,0x3215,0x3215,0x3215,0x3283,0x3284,0x3285,0x3215,0x3215,0x3215,0x3215,0x3215,0x0616,0x3266,0x3260,0x3260,0x3251,0x3260,0x3251,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x322A
16,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x061C,0x061D,0x061D,0x061D,0x061D,0x0619,0x3283,0x3284,0x3285,0x0619,0x061D,0x061D,0x061D,0x061D,0x061E,0x3266,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x322A
17,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x32C6,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x3267,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x322A
18,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x322A
19,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x060C,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060E,0x3266,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x060C,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060D,0x060E,0x3266,0x3260,0x3260,0x3260,0x3260,0x322A
20,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x0624,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x0626,0x3266,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x0624,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x3225,0x0626,0x3266,0x3260,0x3260,0x3260,0x3260,0x322A
21,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x0624,0x3225,0x3225,0x0668,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x066A,0x3225,0x3225,0x0626,0x3266,0x3249,0x3260,0x3260,0x3260,0x3260,0x3260,0x3248,0x3260,0x0624,0x3225,0x3225,0x0668,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x0669,0x066A,0x3225,0x3225,0x0626,0x3266,0x3260,0x3260,0x3260,0x3260,0x322A
22,0x3228,0x3260,0x3248,0x3260,0x3248,0x3260,0x0624,0x3225,0x3225,0x0670,0x3271,0x3271,0x3271,0x3271,0x3271,0x326F,0x3271,0x0672,0x3225,0x3225,0x0626,0x3266,0x3251,0x3260,0x3260,0x3260,0x3260,0x3260,0x3250,0x3260,0x0624,0x3225,0x3225,0x0670,0x3271,0x3271,0x3271,0x3271,0x3271,0x326F,0x3271,0x0672,0x3225,0x3225,0x0626,0x3266,0x3249,0x3260,0x3249,0x3260,0x322A
23,0x3228,0x3260,0x3250,0x3260,0x3250,0x3260,0x0624,0x3225,0x3225,0x0670,0x3271,0x3271,0x3271,0x32A1,0x0271,0x4277,0x0271,0x0672,0x3225,0x3225,0x0626,0x3266,0x3259,0x3260,0x3260,0x3260,0x3260,0x3260,0x3258,0x3260,0x0624,0x3225,0x3225,0x0670,0x3271,0x3271,0x3271,0x3292,0x0271,0x4277,0x0271,0x0672,0x3225,0x3225,0x0626,0x3266,0x3251,0x3260,0x3251,0x3260,0x322A
24,0x3228,0x3260,0x3258,0x3260,0x3258,0x3260,0x0624,0x3225,0x3225,0x0670,0x3271,0x3271,0x3271,0x32A9,0x3271,0x0271,0x3271,0x0672,0x3225,0x3225,0x0626,0x3266,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x0624,0x3225,0x3225,0x0670,0x3271,0x3271,0x3271,0x329A,0x3271,0x0271,0x3271,0x0672,0x3225,0x3225,0x0626,0x3266,0x3259,0x3260,0x3259,0x3260,0x322A
25,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x0624,0x3225,0x3225,0x0670,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x0672,0x3225,0x3225,0x0626,0x3266,0x3249,0x3260,0x3260,0x3260,0x3260,0x3260,0x3248,0x3260,0x0624,0x3225,0x3225,0x0670,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x3271,0x0672,0x3225,0x3225,0x0626,0x3266,0x3260,0x3260,0x3260,0x3260,0x322A
26,0x3228,0x3260,0x3248,0x3260,0x3248,0x3260,0x0624,0x3225,0x3225,0x0678,0x0679,0x0679,0x328B,0x328C,0x328D,0x0679,0x0679,0x067A,0x3225,0x3225,0x0626,0x3266,0x3251,0x3260,0x3260,0x3260,0x3260,0x3260,0x3250,0x3260,0x0624,0x3225,0x3225,0x0678,0x0679,0x0679,0x32AB,0x32AC,0x32AD,0x0679,0x0679,0x067A,0x3225,0x3225,0x0626,0x3266,0x3249,0x3260,0x3249,0x3260,0x322A
27,0x3228,0x3260,0x3250,0x3260,0x3250,0x3260,0x0614,0x3215,0x3215,0x3215,0x3215,0x3215,0x3293,0x3294,0x3295,0x3215,0x3215,0x3215,0x3215,0x3215,0x0616,0x3266,0x3259,0x3260,0x3260,0x3260,0x3260,0x3260,0x3258,0x3260,0x0614,0x3215,0x3215,0x3215,0x3215,0x3215,0x32B3,0x32B4,0x32B5,0x3215,0x3215,0x3215,0x3215,0x3215,0x0616,0x3266,0x3251,0x3260,0x3251,0x3260,0x322A
28,0x3228,0x3260,0x3258,0x3260,0x3258,0x3260,0x061C,0x061D,0x061D,0x061D,0x061D,0x0619,0x3293,0x3294,0x3295,0x0619,0x061D,0x061D,0x061D,0x061D,0x061E,0x3266,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x061C,0x061D,0x061D,0x061D,0x061D,0x0619,0x32B3,0x32B4,0x32B5,0x0619,0x061D,0x061D,0x061D,0x061D,0x061E,0x3266,0x3259,0x3260,0x3259,0x3260,0x322A
29,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x32C6,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x3267,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x32C6,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x325F,0x3267,0x3260,0x3260,0x3260,0x3260,0x322A
30,0x3228,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x322A
31,0x3228,0x3260,0x3260,0x324A,0x3260,0x3260,0x3260,0x324A,0x3260,0x3260,0x3260,0x324A,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x324A,0x3260,0x3260,0x3260,0x324A,0x3260,0x3260,0x3260,0x324A,0x3260,0x3260,0x322A
32,0x3228,0x3260,0x3260,0x0652,0x3260,0x3260,0x3260,0x0652,0x3260,0x3260,0x3260,0x0652,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x0204,0x0205,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x0204,0x0205,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x3260,0x0652,0x3260,0x3260,0x3260,0x0652,0x3260,0x3260,0x3260,0x0652,0x3260,0x3260,0x322A
