map,Route113_Layout,width,100,height,20,primary,gTileset_General,secondary,gTileset_Fallarbor
y\x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x3279,0x32DB,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x0626,0x061C,0x061C,0x061C,0x061C,0x061D,0x3218,0x3218,0x320A,0x320A,0x320A,0x0609,0x0471,0x0471,0x0471,0x060B,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x0624,0x061C,0x061D,0x3218,0x3218,0x3218,0x061B,0x061C,0x061C,0x0627,0x3218,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x3218,0x32DA,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001,0x3001
11,0x3288,0x3289,0x3289,0x3289,0x328A,0x3279,0x3288,0x3289,0x32EC,0x3289,0x328A,0x3279,0x32D3,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x3218,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x0609,0x0471,0x0471,0x0471,0x060B,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x061F,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x3218,0x3218,0x3218,0x32DA,0x3001,0x3001,0x3001,0x3001,0x0468,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469,0x0469
12,0x3290,0x3291,0x329B,0x329B,0x3292,0x329F,0x3290,0x329B,0x329B,0x329B,0x3292,0x3279,0x32DB,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x0619,0x0609,0x0471,0x0471,0x0471,0x04BF,0x0602,0x0603,0x0601,0x0603,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x320A,0x320A,0x061F,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x320A,0x320A,0x0601,0x0602,0x0602,0x0602,0x0602,0x0602,0x0602,0x0602,0x0602,0x0469,0x0469,0x0469,0x0469,0x04BE,0x0471,0x0471,0x0471,0x046B,0x046C,0x046C,0x046C,0x046C,0x046C
13,0x3298,0x32FC,0x3299,0x3299,0x329A,0x3279,0x3298,0x3299,0x3299,0x3299,0x329A,0x3206,0x3205,0x3204,0x3205,0x3204,0x3205,0x3218,0x3218,0x3218,0x3218,0x3218,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x3218,0x3218,0x3218,0x3218,0x3218,0x3218,0x061A,0x0609,0x0471,0x0471,0x0471,0x0471,0x0471,0x060B,0x0611,0x0613,0x3218,0x3218,0x3218,0x061A,0x0601,0x0602,0x0602,0x0603,0x0601,0x0603,0x061F,0x3218,0x3204,0x3205,0x3204,0x3205,0x3204,0x3205,0x3204,0x3205,0x3204,0x3205,0x3204,0x3205,0x3204,0x3205,0x061A,0x0619,0x0609,0x0471,0x04E1,0x04E1,0x046B,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x046D,0x04E1,0x0473,0x0471,0x0471,0x0471,0x0471,0x0471
14,0x3206,0x3207,0x3206,0x3207,0x3206,0x3207,0x3206,0x3207,0x3206,0x3207,0x3206,0x366C,0x066D,0x366C,0x060D,0x060C,0x066D,0x3205,0x3204,0x3205,0x3204,0x3205,0x3204,0x3205,0x3204,0x3205,0x320A,0x320A,0x320A,0x320A,0x320A,0x320A,0x3218,0x3218,0x3218,0x3218,0x3204,0x3205,0x3204,0x3205,0x0611,0x0489,0x0471,0x0471,0x0471,0x0471,0x060B,0x0619,0x3204,0x3205,0x3204,0x3205,0x0619,0x0609,0x0471,0x0471,0x060B,0x0611,0x0613,0x061F,0x3204,0x066E,0x060D,0x060C,0x066D,0x066E,0x066D,0x066E,0x060D,0x060C,0x066D,0x066E,0x060D,0x060C,0x060D,0x0601,0x0602,0x04BE,0x046B,0x046C,0x046C,0x04BE,0x046B,0x046C,0x046C,0x046C,0x046C,0x046C,0x046C,0x046D,0x0471,0x0471,0x0475,0x046B,0x04BE,0x0471,0x0471,0x0471,0x0471,0x0471
15,0x0673,0x0674,0x0673,0x0674,0x3673,0x360F,0x060E,0x0674,0x0673,0x360F,0x060E,0x0674,0x0673,0x0674,0x3205,0x3204,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x060D,0x0601,0x0602,0x0602,0x0602,0x0602,0x0602,0x0602,0x0602,0x0603,0x0619,0x060C,0x066D,0x066E,0x066D,0x3205,0x0611,0x0479,0x0479,0x0479,0x0479,0x0613,0x3204,0x066E,0x060D,0x060C,0x066D,0x3205,0x0609,0x0471,0x0471,0x060B,0x061B,0x061C,0x0627,0x060C,0x0676,0x3205,0x3204,0x0675,0x0676,0x0675,0x0676,0x3205,0x3204,0x0675,0x0676,0x3205,0x3204,0x3205,0x0609,0x0493,0x0494,0x0473,0x0471,0x0471,0x0471,0x0473,0x0471,0x0471,0x0471,0x0471,0x0474,0x047C,0x047D,0x0471,0x0471,0x0475,0x0473,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471
16,0x360F,0x060E,0x366B,0x366C,0x066B,0x3207,0x3206,0x366C,0x366B,0x3207,0x3206,0x366C,0x366B,0x366C,0x066D,0x066E,0x066D,0x066E,0x060D,0x060C,0x066D,0x066E,0x060D,0x060C,0x066D,0x3205,0x0609,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x04BF,0x0602,0x0603,0x060C,0x060D,0x060C,0x066D,0x3205,0x3204,0x3205,0x3204,0x3205,0x3204,0x066E,0x066D,0x3205,0x3204,0x066E,0x060D,0x0609,0x0471,0x0471,0x04BF,0x0602,0x0603,0x3218,0x3204,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x060D,0x0609,0x049B,0x049C,0x0473,0x0471,0x0471,0x0471,0x047B,0x047C,0x047C,0x047C,0x047C,0x047D,0x0471,0x0474,0x047C,0x047C,0x047D,0x0473,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471
17,0x3207,0x3206,0x0673,0x0674,0x3673,0x3674,0x0673,0x0674,0x0673,0x0674,0x3673,0x3674,0x0673,0x0674,0x0675,0x0676,0x0675,0x0676,0x3205,0x3204,0x0675,0x0676,0x3205,0x3204,0x0675,0x060D,0x0609,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x060B,0x3204,0x3205,0x3204,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x3205,0x0609,0x0471,0x0471,0x0471,0x0471,0x060B,0x3204,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x3205,0x0609,0x0471,0x0471,0x047B,0x047C,0x0489,0x0471,0x0471,0x0471,0x0471,0x0471,0x0474,0x047C,0x047C,0x047D,0x0471,0x0471,0x0471,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x047C
18,0x366B,0x366C,0x366B,0x366C,0x066B,0x066C,0x366B,0x366C,0x366B,0x366C,0x066B,0x066C,0x366B,0x366C,0x366B,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x3205,0x0609,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x060B,0x060C,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x060D,0x0609,0x0471,0x0471,0x0471,0x0471,0x060B,0x060C,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x066D,0x066E,0x060D,0x0609,0x0471,0x0471,0x0471,0x0471,0x047B,0x047C,0x047C,0x047C,0x047C,0x047C,0x047D,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471,0x0471
19,0x0673,0x0674,0x0673,0x0674,0x3673,0x3674,0x0673,0x0674,0x0673,0x0674,0x3673,0x3674,0x0673,0x0674,0x0673,0x3676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x060D,0x0611,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0613,0x3204,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x3205,0x0611,0x0479,0x0479,0x0479,0x0479,0x0613,0x3204,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x0675,0x0676,0x3205,0x0611,0x0479,0x0479,0x0479,0x0479,0x0479,0x0491,0x0491,0x0491,0x0491,0x0491,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479,0x0479
